time,open,high,low,close,volume,Volume MA
1509926400,1.5,1.799,0.5,1.7,649.12,NaN
1509940800,1.3,1.681,1.3,1.625,52482.55,NaN
1509955200,1.6011,1.676,1.58,1.6288,21742.42,NaN
1509969600,1.6288,1.6288,1.5645,1.6148,22186.53,NaN
1509984000,1.6148,1.631,1.5645,1.5868,11769.81,NaN
1509998400,1.5868,1.598,1.55,1.571,11784.91,NaN
1510012800,1.571,1.6188,1.5389,1.6188,8357.26,NaN
1510027200,1.6188,1.6188,1.5548,1.5705,14243.17,NaN
1510041600,1.5705,1.6184,1.5548,1.5864,4580.82,NaN
1510056000,1.6183,1.7885,1.5801,1.7353,60503.3,NaN
1510070400,1.7353,1.799,1.6593,1.799,35369.35,NaN
1510084800,1.799,1.8,1.7196,1.8,11075.83,NaN
1510099200,1.8,1.946,1.7479,1.81,47473.55,NaN
1510113600,1.81,1.99,1.81,1.8631,40976.62,NaN
1510128000,1.8631,1.9448,1.8631,1.8736,15005.49,NaN
1510142400,1.87,1.93,1.821,1.93,34977.71,NaN
1510156800,1.93,1.99,1.78,1.95,98567.79,NaN
1510171200,1.95,1.99,1.875,1.9889,110289.1,NaN
1510185600,1.9889,2.05,1.9,2.05,44788.84,NaN
1510200000,2.05,2.05,1.96,2.0182,14802.42,33081.3295
1510214400,2.0182,2.07,1.9704,2.0001,71318.93,36614.82
1510228800,2.0599,2.1997,2.0118,2.0711,88775.93,38429.489
1510243200,2.11,2.1302,2.08,2.1294,18489.24,38266.83
1510257600,2.1294,2.1294,1.9,1.99,48861.84,39600.595499999996
1510272000,1.99,2.02,1.9,1.9498,71306.59,42577.43449999999
1510286400,1.9498,1.9498,1.8923,1.895,29827.82,43479.57999999999
1510300800,1.895,2.0101,1.7998,1.7998,117299.01,48926.66749999999
1510315200,1.7998,1.825,1.6631,1.7723,136862.79,55057.64849999999
1510329600,1.7723,1.89,1.6168,1.6501,68685.37,58262.87599999999
1510344000,1.6501,1.8799,1.6019,1.7133,60677.32,58271.57699999999
1510358400,1.7133,1.925,1.7133,1.8799,72502.12,60128.21549999998
1510372800,1.8799,1.9179,1.8001,1.848,20262.65,60587.55649999997
1510387200,1.848,1.848,1.69,1.7304,35696.29,59998.69349999997
1510401600,1.7304,1.7304,1.58,1.6,98239.69,62861.846999999965
1510416000,1.6,1.7,1.58,1.7,16008.73,62912.00899999996
1510430400,1.7,1.7,1.6401,1.655,16128.89,61969.567999999956
1510444800,1.6567,1.6567,1.5,1.53,106506.67,62366.51199999995
1510459200,1.53,1.62,1.34,1.5302,185149.27,66109.52049999996
1510473600,1.5676,1.7,1.51,1.5851,51113.99,66425.77799999995
1510488000,1.5851,1.6792,1.5313,1.575,65510.92,68961.20299999995
1510502400,1.575,1.6389,1.5058,1.5879,29029.66,66846.73949999994
1510516800,1.5879,1.6,1.45,1.49,19849.21,63400.40349999994
1510531200,1.49,1.6,1.49,1.5995,6220.64,62786.97349999994
1510545600,1.5995,1.65,1.5406,1.5933,51807.58,62934.26049999994
1510560000,1.5933,1.7381,1.5933,1.71,41689.62,61453.41199999994
1510574400,1.71,1.71,1.6428,1.6748,38378.55,61880.94849999994
1510588800,1.6741,1.6999,1.6,1.6408,19474.73,56989.73449999994
1510603200,1.6408,1.6893,1.6201,1.68,9199.61,50606.57549999994
1510617600,1.68,1.7381,1.65,1.694,30422.31,48693.42249999994
1510632000,1.694,1.6947,1.66,1.6613,16895.23,46504.31799999995
1510646400,1.6613,1.6688,1.56,1.5898,61114.16,45934.91999999995
1510660800,1.5898,1.6277,1.5321,1.5899,35768.49,46710.21199999995
1510675200,1.5899,1.6181,1.5553,1.5976,16714.19,45761.106999999945
1510689600,1.5976,1.6181,1.5553,1.5911,16332.07,41665.725999999944
1510704000,1.5911,1.633,1.563,1.5992,31951.14,42462.84649999994
1510718400,1.5992,1.5992,1.5604,1.5968,26723.59,42992.58149999994
1510732800,1.5968,1.6794,1.555,1.5806,41014.14,39717.95499999994
1510747200,1.5806,1.5837,1.5001,1.5004,116801.03,36300.54299999994
1510761600,1.5005,1.5678,1.49,1.5403,67955,37142.593499999944
1510776000,1.5403,1.5596,1.5,1.5532,13193.44,34526.719499999934
1510790400,1.5533,1.6699,1.5499,1.6013,42755.89,35213.03099999994
1510804800,1.6013,1.6244,1.55,1.5595,35596.72,36000.40649999994
1510819200,1.5595,1.6099,1.511,1.6,24360.78,36907.41349999994
1510833600,1.6,1.6354,1.5455,1.6157,41749.51,36404.50999999994
1510848000,1.6157,1.6299,1.5702,1.5998,19722.75,35306.16649999994
1510862400,1.5998,1.62,1.5594,1.5599,33844.01,35079.439499999935
1510876800,1.5599,1.5765,1.51,1.5498,83655.48,38288.47699999994
1510891200,1.54,1.5527,1.4925,1.4925,109866.67,43321.82999999994
1510905600,1.4951,1.5346,1.49,1.5147,64010.93,45001.26099999994
1510920000,1.5147,1.5599,1.5,1.545,89315.42,48622.27049999994
1510934400,1.545,1.545,1.5003,1.5396,20452.94,46589.20949999994
1510948800,1.5396,1.5555,1.4912,1.5041,52145.14,47408.04199999994
1510963200,1.5041,1.5899,1.492,1.53,54680.26,49306.345499999945
1510977600,1.53,1.5685,1.5259,1.5632,17732.23,49376.35349999995
1510992000,1.5632,1.5845,1.5327,1.55,20307.1,48794.15149999994
1511006400,1.55,1.5999,1.5494,1.5827,34502.72,49183.10799999994
1511020800,1.5827,1.65,1.5818,1.62,35726.71,48918.73649999994
1511035200,1.62,1.6699,1.6113,1.6699,9150.84,43536.22699999994
1511049600,1.6699,1.6948,1.58,1.6398,48553.48,42566.15099999994
1511064000,1.6398,1.676,1.6195,1.6469,30832.44,43448.10099999994
1511078400,1.6423,1.6759,1.635,1.6601,24309.8,42525.79649999994
1511092800,1.6601,1.6945,1.5924,1.609,34010.37,42446.47899999994
1511107200,1.609,1.6395,1.576,1.5919,22265.93,42341.73649999994
1511121600,1.5919,1.65,1.575,1.6,19729.6,41240.740999999936
1511136000,1.6,1.6166,1.5605,1.5768,19733.39,41241.27299999994
1511150400,1.5768,1.6118,1.5768,1.61,23364.61,40717.30299999994
1511164800,1.61,1.6136,1.582,1.6,13643.36,37216.69699999994
1511179200,1.6,1.63,1.59,1.6157,43572.29,33901.97799999994
1511193600,1.6157,1.6488,1.6051,1.6219,40231.35,32712.998999999934
1511208000,1.6219,1.6522,1.6193,1.64,19192.16,29206.835999999934
1511222400,1.64,1.6419,1.547,1.5623,103753.55,33371.86649999994
1511236800,1.5623,1.6391,1.54,1.6,185701.46,40049.68249999994
1511251200,1.6,1.63,1.583,1.6,36852.8,39158.30949999994
1511265600,1.6,1.64,1.5801,1.615,52671.65,40905.28049999994
1511280000,1.6098,1.6211,1.5763,1.5763,20963.84,40938.11749999994
1511294400,1.5763,1.612,1.57,1.5874,13504.07,39888.18499999994
1511308800,1.5874,1.6115,1.5728,1.593,25354.35,39369.56699999994
1511323200,1.593,1.6031,1.5688,1.5889,23835.31,40103.790499999945
1511337600,1.593,1.6211,1.58,1.6042,39583.81,39655.30699999995
1511352000,1.6042,1.6087,1.56,1.5874,59340.29,41080.69949999995
1511366400,1.5874,1.593,1.5556,1.5812,21207.82,40925.60049999995
1511380800,1.5812,1.6207,1.562,1.6158,27136.04,40581.88399999995
1511395200,1.6158,1.618,1.56,1.5857,32993.23,41118.248999999945
1511409600,1.5857,1.6016,1.5655,1.5655,22445.5,41254.04399999995
1511424000,1.5625,1.597,1.544,1.5658,53289.35,42931.841999999946
1511438400,1.5658,1.5911,1.545,1.5723,34777.73,43502.49799999995
1511452800,1.5723,1.5754,1.5445,1.5611,18270.08,43733.833999999944
1511467200,1.5611,1.57,1.5388,1.57,22682.6,42689.34949999994
1511481600,1.57,1.594,1.5518,1.57,53508.1,43353.18699999994
1511496000,1.5763,1.5976,1.55,1.5786,69450.51,45866.10449999994
1511510400,1.5786,1.8187,1.54,1.6869,277375.58,54547.20599999993
1511524800,1.6811,1.7182,1.6435,1.6881,136508.91,52087.57849999993
1511539200,1.6881,1.7074,1.6435,1.6787,76807.89,54085.332999999926
1511553600,1.6787,1.7292,1.64,1.7292,30567.59,52980.12999999993
1511568000,1.712,1.8474,1.68,1.8031,140922.79,58978.077499999934
1511582400,1.8031,1.9479,1.7666,1.94,91426.98,62874.222999999925
1511596800,1.9282,1.9588,1.68,1.7661,132304.53,68221.73199999993
1511611200,1.7661,1.82,1.7432,1.8004,57679.06,69913.91949999993
1511625600,1.8004,1.82,1.742,1.82,26868.55,69278.15649999992
1511640000,1.82,1.8888,1.805,1.87,26241.17,67623.20049999992
1511654400,1.87,1.9099,1.8311,1.8995,51107.32,69118.17549999992
1511668800,1.8995,1.91,1.8307,1.8443,33548.72,69438.80949999992
1511683200,1.8443,1.8892,1.8388,1.8888,13379.95,68458.14549999991
1511697600,1.8888,1.899,1.85,1.8635,19567.07,68314.22399999991
1511712000,1.8635,1.9051,1.7859,1.8017,41679.36,67733.72449999992
1511726400,1.8017,1.8388,1.76,1.8388,34383.84,67714.02999999993
1511740800,1.8388,1.9087,1.8088,1.8238,46180.51,69109.55149999991
1511755200,1.8163,1.8329,1.7968,1.8123,71400.43,71545.44299999991
1511769600,1.8123,1.8399,1.74,1.782,155538.51,76646.96349999991
1511784000,1.782,1.8291,1.7689,1.808,71024.76,76725.6759999999
1511798400,1.808,1.889,1.799,1.8627,40353.65,64874.5794999999
1511812800,1.8627,1.9532,1.847,1.9532,96197.87,62859.02749999991
1511827200,1.9532,1.9532,1.8525,1.8683,60422.68,62039.76699999991
1511841600,1.8683,1.8899,1.801,1.8897,28544.89,61938.6319999999
1511856000,1.8897,1.9308,1.8637,1.9016,42167.84,57000.884499999906
1511870400,1.9016,1.9229,1.82,1.8616,147212.53,59790.16199999991
1511884800,1.8616,1.9088,1.8615,1.8958,38353.94,55092.632499999905
1511899200,1.8958,1.925,1.8948,1.9249,42814.06,54349.382499999905
1511913600,1.9248,1.9288,1.8858,1.91,103919.63,58201.936499999894
1511928000,1.925,1.95,1.7883,1.9406,172644.53,65522.1044999999
1511942400,1.9405,2.02,1.9091,1.965,77348.3,66834.1534999999
1511956800,1.965,2.0486,1.8288,1.9354,113216.77,70817.5559999999
1511971200,1.9354,1.9799,1.55,1.71,155381.94,77917.6554999999
1511985600,1.71,1.9156,1.6758,1.7565,313228.08,92600.7059999999
1512000000,1.7641,1.9994,1.7303,1.9961,145703.69,97801.9224999999
1512014400,1.9992,2.038,1.84,1.8793,204225.29,106293.99499999991
1512028800,1.8793,1.948,1.85,1.8958,82144.53,108092.19599999991
1512043200,1.8958,1.9299,1.75,1.7943,126817.9,110863.0694999999
1512057600,1.7943,1.88,1.71,1.8799,114674.32,108819.85999999987
1512072000,1.8799,1.95,1.8153,1.95,74552.33,108996.23849999989
1512086400,1.95,1.98,1.8801,1.98,49292.92,109443.20199999989
1512100800,1.98,2.01,1.9,1.9698,36108.92,106438.75449999988
1512115200,1.96,2.0296,1.96,2.025,35042.78,105169.75949999985
