time,open,high,low,close,volume,Volume MA
1528768800,16.2,16.3,15.36,15.53,22867.56,NaN
1528772400,15.5288,16.7999,15.0386,15.23,48398.68,NaN
1528776000,15.23,15.7515,15.2,15.6002,31377.59,NaN
1528779600,15.6002,16.3,15.6002,16.1502,50812.82,NaN
1528783200,16.2498,16.3,15.5068,15.6833,48870.17,NaN
1528786800,15.7173,15.9173,15.3917,15.6582,28034.59,NaN
1528790400,15.6851,15.79,15.5479,15.7721,19387.04,NaN
1528794000,15.7553,15.7798,15.4799,15.6714,30009.51,NaN
1528797600,15.6713,15.71,15.4802,15.53,13395.17,NaN
1528801200,15.529,15.57,15.2816,15.4,27658.44,NaN
1528804800,15.401,15.401,14.6002,14.7497,42850.42,NaN
1528808400,14.712,15.4197,14.5678,14.9494,40570.31,NaN
1528812000,14.9494,15.4197,14.8863,15.3007,29165.32,NaN
1528815600,15.2987,15.4692,15.1124,15.4689,25979.21,NaN
1528819200,15.4689,15.5,14.8402,15.0494,28425.66,NaN
1528822800,15.0502,15.2486,15.0229,15.1001,17811.8,NaN
1528826400,15.12,15.1899,14.8088,14.8493,27717.98,NaN
1528830000,14.8487,14.8951,13.95,14.54,73109,NaN
1528833600,14.54,14.8799,14.3503,14.5497,52072.96,NaN
1528837200,14.5389,14.7,14.3336,14.656,31679.69,34509.695999999996
1528840800,14.6559,14.7,14.4704,14.6,22723.74,34502.50499999999
1528844400,14.59,14.7607,14.1801,14.6282,32050.92,33685.11699999999
1528848000,14.7,14.9731,14.6,14.75,29094.12,33570.943499999994
1528851600,14.7597,14.76,14.416,14.5,23359.44,32198.274499999992
1528855200,14.4894,14.8189,14.4656,14.63,30937.75,31301.653499999993
1528858800,14.63,14.6301,14.43,14.49,24707.56,31135.301999999996
1528862400,14.48,14.58,14.3059,14.57,28184.75,31575.187499999993
1528866000,14.58,14.69,14.4,14.4969,29834.68,31566.445999999996
1528869600,14.49,14.5152,14.44,14.4702,14012.28,31597.301499999994
1528873200,14.4736,14.5098,13.7886,13.8001,42282.49,32328.503999999997
1528876800,13.8001,13.9104,13.24,13.45,45309.13,32451.439499999997
1528880400,13.4588,13.5396,13.0239,13.1127,51668.41,33006.34449999999
1528884000,13.1294,13.5887,13.0903,13.2602,31285.97,33112.37699999999
1528887600,13.2619,13.4801,13.2,13.4487,22726.98,32949.765499999994
1528891200,13.4601,13.605,13.3066,13.605,31198.33,33088.39899999999
1528894800,13.5799,13.75,13.3866,13.4,40708.66,34233.24199999999
1528898400,13.3684,13.596,13.26,13.3983,23837.98,34039.24199999999
1528902000,13.3795,13.6315,13.1787,13.2055,31736.06,31970.594999999994
1528905600,13.2054,13.5999,12.813,13.41,83269.32,33530.413
1528909200,13.41,13.8,13.3001,13.7999,35198.88,33706.372500000005
