time,open,high,low,close,volume,Volume MA
1502928000,301.13,312.18,298,302,7030.71034,NaN
1503014400,302,311.79,283.94,293.96,9537.84646,NaN
1503100800,293.96,299.9,278,290.91,2146.19773,NaN
1503187200,290.91,300.53,282.85,299.1,2510.13871,NaN
1503273600,299.1,346.52,294.6,323.29,5219.44542,NaN
1503360000,323.29,330.41,144.21,309.8,7956.35088,NaN
1503446400,312.25,324.99,309.41,315.74,8665.72569,NaN
1503532800,315.74,328.04,314.01,323.42,6753.27192,NaN
1503619200,323.42,338.28,323.42,327.24,7125.96962,NaN
1503705600,327.24,335.44,323.41,330.79,4877.68521,NaN
1503792000,332.18,348.13,330.73,348.13,4635.43715,NaN
1503878400,348.11,351,331.95,346,4279.1817,NaN
1503964800,346,377.6,346,374.7,3032.13425,NaN
1504051200,374.7,393.71,362.05,385.93,4446.59608,NaN
1504137600,384.64,389.36,377.78,384.79,4433.61656,NaN
1504224000,384.79,394.39,383.18,388.46,4198.68434,NaN
1504310400,388.46,394.32,320.08,343.14,8240.32724,NaN
1504396800,343.14,367.28,320.08,341.77,5253.62211,NaN
1504483200,341.77,344.55,267.94,283.77,6737.81061,NaN
1504569600,286.81,321.52,235.55,312.09,8344.41924,5771.258562999999
1504656000,313.29,336.34,312.09,335,5486.30988,5694.03854
1504742400,335,342.5,320.17,334.49,3103.89745,5372.3410895
1504828800,334.49,335.1,272,302.99,4915.75693,5510.8190495
1504915200,302.99,307,281.66,296.74,2740.58822,5522.341525
1505001600,296.72,302.78,261.03,293.5,4156.45099,5469.1918035
1505088000,293.5,304.98,285.21,297.3,4829.64647,5312.856583
1505174400,297.3,316.46,286.01,293.96,5176.31402,5138.3859995
1505260800,293.96,294.5,257.05,276.91,6451.22836,5123.2838215
1505347200,276.91,283.77,215,215.21,12601.95676,5397.0831785
1505433600,217,270.93,192,253,14223.8953,5864.393683
1505520000,255.99,271.81,235.51,249.31,10362.06011,6150.724831000001
1505606400,249.31,264.39,239.02,257.55,4614.53337,6167.492414500001
1505692800,257.55,306.22,257.11,294.57,4125.97051,6222.184227500001
1505779200,294.57,300,277.41,284,1869.90852,6093.3498495
1505865600,284.01,294,275.91,282,1060.56734,5924.697388500001
1505952000,282,287,252.1,257,1912.55583,5810.390963000001
1506038400,257,272.97,253.01,264,1464.5125,5471.6002260000005
1506124800,264,286.23,255.11,285.93,2824.33572,5350.1359065000015
1506211200,285.93,294.61,275,282,5575.54422,5292.022587000001
1506297600,282,299,281.34,294.42,5870.48035,5168.325642500001
1506384000,294.42,296.81,286.24,287.9,4566.92804,5122.356550500001
1506470400,289.91,313,286.13,309.74,5518.10382,5243.066869
1506556800,309.74,311.81,296.89,302.44,6600.90922,5327.3244835000005
1506643200,302.44,303,274,292.22,11089.19902,5744.7550235
1506729600,292.62,307.49,292.22,304.36,4020.60795,5737.962871500001
1506816000,304.36,306,294,303.95,5060.05758,5749.483427000001
1506902400,303.94,305,295,296.5,3710.83747,5676.2095995
1506988800,298.15,301.99,283.18,292.48,5546.85702,5630.9910325
1507075200,292.47,297.97,288,291.99,4014.88792,5201.6375905
1507161600,290,297.44,285.53,294.81,3412.39016,4661.0623335
1507248000,294.81,310.8,293.78,310.8,3541.02359,4320.010507499999
1507334400,309.9,318.5,303.6,311.01,2165.79076,4197.573376999999
1507420800,311.08,317.07,309,311.07,2960.93198,4139.321450499999
1507507200,311.13,312.13,286.65,297.19,4885.37863,4290.094955999999
1507593600,297.35,308.56,293,298.64,6749.27468,4574.530323
1507680000,298.64,305.5,298.02,304.01,3724.6863,4665.1368465
1507766400,304.01,310,302.71,303.99,7827.75596,4983.2990195
1507852800,303.99,353.96,297,337.96,17925.36585,5738.350526
1507939200,337.96,349.8,335,342,7731.96469,5846.1715495
1508025600,342,348,316.17,337.96,10011.34708,6053.214886
1508112000,337.96,354,332.78,335.19,8663.47097,6258.0420325
1508198400,335.18,336.58,312.65,315.19,8146.74356,6389.4740194999995
1508284800,315.19,318,284.68,309.7,12908.0454,6704.830828499999
1508371200,309.7,315,300,308.66,8678.74739,6584.308246999999
1508457600,308.66,311.18,302,304.51,8739.31764,6820.243731499999
1508544000,304.51,305.34,290,298.94,8591.63121,6996.822412999999
1508630400,298.94,306.99,290,293.79,7173.06893,7169.933985999999
1508716800,293.79,294.6,272.2,281.09,9658.78404,7375.530336999999
1508803200,282.27,310,275.5,297.38,14066.67924,7878.119902999999
1508889600,297.38,300,281,294.49,9703.09261,8192.655025499998
1508976000,294.49,299.76,291.03,294.71,7813.02717,8406.255204499997
1509062400,294.71,298.1,292.03,296.33,6272.14802,8611.573067499998
1509148800,296.33,297,290.1,291.87,5848.86589,8755.969762999997
1509235200,291.87,309.4,291.86,305,9019.13315,8962.657488999997
1509321600,305,316,302.1,307.25,8946.12026,9072.499767999998
1509408000,307.25,309.99,304.01,304.9,7640.41182,9268.286043999997
1509494400,304.89,305.9,286.34,287.01,9843.1666,9369.056575999997
1509580800,287.3,293,274.73,283.12,13423.8572,9143.981143499997
1509667200,283.12,307,282,304.08,8194.03465,9167.084641499996
1509753600,304.09,304.99,292.11,298.04,7828.41744,9057.938159499996
1509840000,298.04,302.14,293.13,295.53,6638.42119,8956.685670499995
1509926400,295.53,305.58,290.11,297.97,7515.50103,8925.123543999996
1510012800,297.97,303.52,287,291.78,9418.57881,8750.650214499996
1510099200,291.78,320,290.02,303.02,15961.85772,9114.805730999997
1510185600,303.6,329,299.5,317.87,11151.29946,9235.404821999997
1510272000,318.5,322.65,285.82,293.5,15597.16557,9585.681539999998
1510358400,293.5,318,291.91,310.02,10850.16279,9769.536232999997
1510444800,310.87,316.99,281.01,305.24,21123.15319,10342.754690499998
1510531200,304,318.88,303.7,312.99,15551.67434,10417.004445499999
1510617600,312.99,337.54,312.94,335.61,17709.2227,10817.31095
1510704000,335.6,339,324,331.33,15597.16131,11206.517657
1510790400,331.33,334.75,321.41,331.49,14145.71696,11600.196103999999
