time,open,high,low,close,volume,Volume MA
1502942400,301.13,307.96,298,307.96,1561.95305,NaN
1502956800,307.95,312,307,308.95,1177.71088,NaN
1502971200,308.95,310.51,303.56,307.06,1882.05267,NaN
1502985600,307.06,312.18,298.21,301.6,1208.05192,NaN
1503000000,301.6,310.85,299.01,302,1200.94182,NaN
1503014400,302,306.47,295.19,301.4,1690.58319,NaN
1503028800,301.4,309.49,298.41,306.24,1732.52616,NaN
1503043200,306.24,311.79,303.22,307.78,1213.01283,NaN
1503057600,307.78,310.29,296.32,298.8,1358.99471,NaN
1503072000,298.8,301.11,287.37,293.83,1620.71499,NaN
1503086400,295.46,295.46,283.94,293.96,1922.01458,NaN
1503100800,293.96,299.84,292.83,293.22,282.19297,NaN
1503115200,294.69,299.9,287.01,290.16,235.2921,NaN
1503129600,290.16,293.17,278,282.58,1139.03045,NaN
1503144000,281.39,290.85,279.56,288.64,288.29994,NaN
1503158400,288.64,295,284.16,293.31,127.38589,NaN
1503172800,293.31,294.9,288.8,290.91,73.99638,NaN
1503187200,290.91,292.42,285.96,292.41,68.40092,NaN
1503201600,292.41,295.56,285.39,292.08,252.26228,NaN
1503216000,293.02,296.89,282.85,295,240.75968,963.8088704999998
1503230400,295,296.92,292.28,295.1,67.3647,889.0794529999997
1503244800,295.1,300.53,293.28,297.88,361.56695,848.2722564999998
1503259200,297.87,300.53,294.51,299.1,1519.78418,830.1588319999997
1503273600,299.1,300.9,294.6,299.85,723.80595,805.9465334999998
1503288000,299.85,329.49,299.11,318.5,888.57113,790.3279989999997
1503302400,318.5,333.66,312.6,331.53,207.37686,716.1676824999997
1503316800,331.33,346.52,325.42,334.94,1227.44025,690.9133869999998
1503331200,334.94,342.72,316.82,329.71,1715.07272,716.0163814999999
1503345600,332.27,332.74,316.12,323.29,457.17851,670.9255714999997
1503360000,323.29,330.41,280,280,809.61524,630.3705839999997
1503374400,144.21,310.24,144.21,300.35,707.47249,569.6434794999998
1503388800,300.35,313.16,296,308.03,2176.12505,664.3400834999998
1503403200,311.16,311.24,301.48,308.39,1756.8306,740.4170084999997
1503417600,305.08,320.76,305.08,307.03,1304.2511,748.6780409999997
1503432000,307.03,313.99,305.08,309.8,1202.0564,794.3658639999996
1503446400,312.25,319.78,309.41,317.26,1088.33347,842.4132429999996
1503460800,315.45,324.99,315.35,319.06,1376.06321,907.5165844999996
1503475200,319.06,324.51,318.02,319.2,1285.87403,968.3902399999995
1503489600,319.2,322,313.75,319.2,2106.38559,1061.0964054999995
1503504000,319.2,322.34,315.53,318.57,1635.49673,1130.8332579999994
1503518400,318.57,320.2,312.05,315.74,1173.57266,1186.1436559999997
1503532800,315.74,318.45,314.01,315.22,1061.17398,1221.1240074999996
1503547200,315.22,322.36,314.31,318.54,1074.07592,1198.8385944999995
1503561600,318.54,323.61,316.14,323.61,1670.50319,1246.1734564999995
1503576000,322.51,328.04,317.9,321.2,1138.04846,1258.6473229999995
1503590400,321.2,325.35,318.97,321.23,909.12592,1293.7347759999993
1503604800,321.23,326.33,318.97,323.42,900.34445,1277.3799859999995
1503619200,323.42,330.44,323.42,326.55,1406.8485,1261.9687749999994
1503633600,326.55,335,326.55,330.29,1115.60692,1294.8901954999992
1503648000,330.29,335.41,327.4,331.26,1199.42604,1314.3807354999992
1503662400,331.26,335.33,328.72,333.15,1961.178,1377.0660109999992
1503676800,333.15,338.28,325.42,328.71,751.25954,1305.8227354999992
1503691200,329.91,332.27,324.9,327.24,691.65062,1252.563736499999
1503705600,327.24,332.27,323.41,323.46,569.57801,1215.830081999999
1503720000,323.46,329.69,323.41,327.9,1070.6985,1209.262186999999
1503734400,328.45,331.25,326.69,327.89,856.541,1197.672563499999
1503748800,328.25,335.44,324.06,327,940.58482,1175.898643999999
1503763200,327,334.17,326.7,331.19,803.00095,1151.754989999999
1503777600,332.68,334.17,329.33,330.79,637.28193,1078.299806999999
1503792000,332.18,338.28,330.79,331.62,1056.62234,1049.3560874999991
1503806400,334.5,338.29,331.49,332.77,689.1668,1025.135794499999
1503820800,332.77,338.42,330.73,333.94,857.24989,1014.939589999999
1503835200,333.93,336.99,331.88,334.67,665.54231,994.5129094999991
1503849600,335.04,341.47,332.97,339.64,795.13177,950.7443384999991
1503864000,341.47,348.13,337.12,348.13,571.72404,922.4281174999993
1503878400,348.11,351,343.44,343.44,740.63428,914.0035354999993
1503892800,343.43,343.69,331.95,338.77,1139.94898,925.9837619999993
