time,open,high,low,close,volume,Volume MA
1542096000,449.49,449.49,449.49,449.49,0.002,NaN
1542110400,428.53,429.91,397.84,402,515.21914775,NaN
1542124800,405,414.42,324.94,342.59,782.9623635,NaN
1542139200,348.38,352.51,304.4,304.4,194.95861012,NaN
1542153600,310.91,364,310.91,364,399.72081696,NaN
1542168000,362.3,380.18,344.59,363,86.46854986,NaN
1542182400,365.17,365.17,237,277.45,3631.85528208,NaN
1542196800,277.05,290,248.91,253.01,707.02792683,NaN
1542211200,250.09,281.41,200.84,273.74,2939.42609977,NaN
1542225600,263.37,275.47,252.68,272.03,781.23126382,NaN
1542240000,264.94,267.89,242.03,247.53,1217.32272963,NaN
1542254400,251.34,298.8,247.81,298.8,245.89382556,NaN
1542268800,298.8,304.75,272.79,294.46,1050.93898989,NaN
1542283200,296.48,320,251.31,320,4752.33258054,NaN
1542297600,320,359.53,270,315.78,11825.03706579,NaN
1542312000,315.83,318,286.47,314.9,4591.66590975,NaN
1542326400,313.97,314,285.91,298.68,2208.18801908,NaN
1542340800,298.68,298.69,280,290.97,3790.60434196,NaN
1542355200,289.05,308,280,299.9,6982.12285897,NaN
1542369600,299.8,302.19,287.72,290.82,1910.05638484,2430.6517383349997
1542384000,291.51,296,264.63,269.36,3293.92404523,2595.3478405964997
1542398400,269.28,272.17,250.78,262,1486.54010991,2643.9138887044996
1542412800,261,264.8,231.32,233,9074.54038242,3058.4927896504996
1542427200,233.03,255,229.07,251.35,6547.36882217,3376.1133002529996
1542441600,253.52,266,250.07,254.01,2056.08786722,3458.931652766
1542456000,254.92,261.89,247.5,257.23,1617.93763665,3535.5051071055
1542470400,258.5,270.69,256.55,259.97,1206.34431624,3414.2295588135
1542484800,261.66,261.66,254.2,255.51,618.78950329,3409.8176376365
1542499200,255.73,268.46,255.73,263.68,634.83907796,3294.588286546
1542513600,263.4,272.39,258.56,265.12,845.99973147,3297.8267099285003
1542528000,267.53,274.33,260,268.11,2408.30976014,3357.3760614539997
1542542400,268.11,291.57,268.06,291.5,3266.51617868,3508.4071791100005
1542556800,289.93,294.54,283.56,288.24,1465.6987647,3529.145167850501
1542571200,290.62,291.76,280.41,291.5,1092.87749349,3346.172413498001
1542585600,291.5,291.5,266.48,271.5,1605.76509788,2835.208815102501
1542600000,271.5,278.34,248.33,248.33,3409.99379947,2776.1252095885006
1542614400,248.33,249.44,227.73,238.02,4271.79897893,2879.3057575810008
1542628800,238.5,241.52,225,235.28,3054.73756215,2842.5124185905006
1542643200,235.28,238.7,225,238.7,5037.0652831,2745.259539797001
1542657600,238.69,243.67,224,229.4,2497.88531936,2774.650986523001
1542672000,229.42,232.93,222,227.83,1047.04705093,2662.307136808001
1542686400,226.35,230.96,208.9,211.59,3198.48749858,2747.9045062415007
1542700800,212.15,227.07,197,222.24,7869.21079714,2687.638026977501
