time,open,high,low,close,volume,Volume MA
1542096000,113.01,129.99,113.01,113.97,42.85725481,NaN
1542110400,120.98,159.98,107.2,132.21,2745.74830757,NaN
1542124800,137.94,194.96,132.51,181.27,3091.73806378,NaN
1542139200,186,229.98,177.4,219,2479.10732002,NaN
1542153600,211,216,170.65,175,1908.34244786,NaN
1542168000,175,189.83,158.53,163,689.11784765,NaN
1542182400,163,254.13,162.5,213.66,5140.91554233,NaN
1542196800,213.5,235,200.22,223.22,931.28241477,NaN
1542211200,223.88,233.18,175,181.7,4577.06882657,NaN
1542225600,180.85,187.46,172,179.46,2097.74528993,NaN
1542240000,182.03,186,179.54,181.68,665.6080653,NaN
1542254400,180.27,180.27,165.38,165.38,733.13793192,NaN
1542268800,165.38,175,148.86,153,1267.02743182,NaN
1542283200,150.68,157,96.1,97,5219.26947818,NaN
1542297600,97,128.96,73.55,90,15351.85750493,NaN
1542312000,90,121,88.664,100.42,10521.43560086,NaN
1542326400,100.42,103.97,95,95,3209.26357689,NaN
1542340800,96.088,98.649,92.2,92.201,4246.38432225,NaN
1542355200,92.201,150.47,87.936,125.77,13903.32142766,NaN
1542369600,125.67,134,111.1,120.57,5686.80760336,4225.401812923
1542384000,120.57,121.65,103.01,111.94,6354.15024175,4540.966462269999
1542398400,111.81,116.96,105.36,109.21,4805.16326944,4643.9372103635
1542412800,110.58,140,108.94,135,11568.7780928,5067.7892118145
1542427200,135.01,143,131.01,140.41,5724.512501,5230.0594708635
1542441600,140.41,140.88,132.88,134,7409.84954611,5505.134825775999
1542456000,134,147,133.57,136.01,5536.01912816,5747.479889801499
1542470400,136,137.14,130.1,134.48,4065.74064013,5693.721144691499
1542484800,132.21,139,131.58,138.36,864.40144442,5690.377096173999
1542499200,137.12,141.31,137,140.1,1235.77904858,5523.312607274499
1542513600,140.1,141.08,133,135.06,4914.27569344,5664.139127449999
1542528000,135.1,137,123.6,124.03,4764.4599354,5869.081720954999
1542542400,124.72,126.19,113.61,117.1,5102.95834166,6087.572741441999
1542556800,117,123.33,115,117.9,1521.92587711,6100.317663706499
1542571200,116.45,117.98,110.1,111.8,2416.18171584,5960.163275589499
1542585600,110.8,114.47,99.35,101.22,5263.36239978,5455.738520331999
1542600000,101.22,102.93,90.001,94.01,7624.81719691,5310.9076001345
1542614400,93.73,97.864,88,88,5984.7266122,5449.680751899999
1542628800,88.756,89.89,81.076,83.59,6463.7181663,5560.547444102499
1542643200,83.59,85.189,74.96,78,8801.13101077,5305.437923257999
1542657600,78,80.975,70.04,70.217,3471.4381408,5194.669450129999
1542672000,71,73.68,61.75,61.75,2477.87267187,5000.855571636
1542686400,61.76,62.479,53.213,58.81,2947.41195284,4907.968005805999
1542700800,58.981,60.493,53.98,54.005,3611.08532793,4510.0833675625
1542715200,55,68.63,54.209,68.499,4108.96065458,4429.3057752415
1542729600,68.629,68.629,57.76,59.345,2428.11277821,4180.2189368465
1542744000,59,59,52,57.069,1875.19097991,3997.1775294339996
1542758400,57.081,57.999,55.903,55.903,1217.8507329,3854.7830340725
1542772800,55.856,56.011,53.551,55.74,2385.52885354,3930.8394045285
1542787200,55.74,56.7,55.74,56.7,2048.1822376,3971.4595639794998
1542801600,56.69,58.5,54.012,56.655,2738.4164531,3862.6666019625
1542816000,56.291,56.989,54.6,56.147,462.18168531,3647.5526894580007
1542830400,55.7,57.6,53.668,56.3,1846.66444821,3484.7379947855006
1542844800,56.954,57.5,56.051,56.536,406.52531364,3428.9679666120005
1542859200,57.5,57.5,55.05,56.409,405.12686371,3328.415224005501
1542873600,56.663,56.663,49.661,50.406,1224.47728944,3126.4709684885006
1542888000,50.406,51.662,43.15,44.536,4887.77059386,2989.6186383360005
1542902400,45.047,47,42.421,43.701,1815.18306682,2781.1414610670004
1542916800,43.92,47.023,42.5,43.2,1188.96794736,2517.40395012
1542931200,43.11,43.11,39.237,39.394,1490.78125133,2151.886462148
1542945600,40,42.999,38.528,41.1,942.85653402,2025.4573818090005
1542960000,41.5,44.8,41.2,44.2,1433.65571899,1973.2465341650004
1542974400,42.764,58.449,42.5,55.5,6424.01697999,2147.076785522501
1542988800,55.6,62.7,52.512,58.21,4324.00771175,2182.722904713501
1543003200,58.21,61.604,58.21,58.415,1238.86758,2039.218250984501
1543017600,58.415,65,57,62.258,938.72777775,1964.7490009615008
1543032000,61.927,61.927,58.5,58.674,704.72737958,1906.2258209450006
1543046400,59.288,66.6,57.896,66.5,2006.85325307,1945.675946953501
1543060800,66.5,66.5,62.56,65.318,995.63542905,1876.1812757290008
1543075200,65.002,65.764,62.653,63.755,394.76738748,1793.510533223001
1543089600,63.234,63.281,57,59,5752.54799905,1944.2171105205011
1543104000,59.675,67.524,57,57.6,3156.58977723,2078.9375151165013
1543118400,57.57,63.708,57.559,61.999,866.79251629,2029.943918520501
1543132800,60.7,64.98,59.937,63.709,2916.33625712,2155.434465694501
1543147200,63.965,73.484,63.648,70.815,5431.0256664,2406.729405829001
1543161600,71.653,91.944,71.17,88.778,11095.05808437,2900.258445575501
1543176000,87.92,92.113,80.645,87,4022.15479816,2856.977655790501
1543190400,88.704,99.736,87.505,96.706,3677.00740169,2950.0688725340015
1543204800,96.7,98.8,94.005,97.666,1399.7728511,2960.6091177210014
1543219200,97.666,122.96,97.666,114.91,13641.87594466,3568.1638523875017
1543233600,114.91,123.98,89.187,108,13551.15334451,4198.578692912001
1543248000,108.2,111.96,94.552,102,6913.71017139,4472.581415532001
1543262400,102.1,109.73,95.51,106.81,1753.18222126,4239.0396775955005
1543276800,107.53,118.9,107.29,114.18,3416.16729036,4193.647656526
1543291200,113.08,114.18,102,103.93,2008.39134883,4232.1238449675
1543305600,103.89,110.01,96.885,98.3,3318.92484074,4351.133698117001
1543320000,98.02,106,90.01,99.673,2556.3099714,4443.712827708
1543334400,100.06,101.97,92.58,95.499,864.04299463,4386.572314786
1543348800,95.3,95.3,84.001,94.699,2790.91280729,4476.336183698
1543363200,94.649,94.649,80.352,84.551,1485.88134797,4530.8918817225
1543377600,84.63,105,81.2,102,2901.31897835,4388.330430687501
1543392000,102,109,96.287,106.7,3130.35235489,4387.018559570501
1543406400,106.1,106.5,93.5,99.999,5806.37134158,4633.997500835
1543420800,99.5,101.01,94.787,94.787,3965.18912436,4686.440144197
1543435200,94.741,94.834,89.4,91.601,3070.13025668,4568.3953737110005
1543449600,91.766,97.485,88.78,91.4,2438.91887691,4135.5884133380005
1543464000,91.4,93.729,89.001,91.5,1174.83612183,3993.2224795214997
1543478400,91.5,98.231,91,92,5010.6885176,4059.9065353169995
1543492800,92,94.116,86.91,92.37,15113.66026552,4745.600906037999
1543507200,93,94.9,89.23,91,3311.09439121,4229.061828365499
1543521600,90.999,95.989,89.714,95.854,3149.95748879,3709.0020355794986
1543536000,94.657,105.02,91.102,100.85,6403.10322547,3683.471688283498
1543550400,100.85,101.98,94,96.524,2976.40054917,3744.632604678998
1543564800,96.428,100.45,93.176,96.5,8562.68615835,4001.958548078498
1543579200,96.972,98.743,93.55,95.777,6730.48629256,4238.0632952649985
1543593600,95.63,99.3,95.63,97.8,4271.84606417,4285.709356436498
1543608000,97.899,98.25,96.4,96.4,2426.7924035,4279.2334780414985
1543622400,96.4,97.294,91.5,91.5,1898.04459083,4330.933557851498
1543636800,91.499,91.5,87.107,89.499,2317.86504374,4307.281169673998
1543651200,89.641,95.741,89.641,94.237,3178.83634553,4391.928919551998
1543665600,94.025,98.284,93.66,95.164,3514.50820562,4422.588380915498
1543680000,95.804,97.797,95.239,96.51,1189.96587891,4325.569057116499
1543694400,96.58,97.055,93.822,94.598,1440.82317935,4107.291649004999
1543708800,94.2,98.026,93.203,95.6,1784.73911779,3998.269148676499
1543723200,96,102.43,92.893,99.598,1982.33129135,3943.8792004099987
1543737600,99.016,104.97,97.901,101.2,3059.04460173,3974.8854866509987
1543752000,101.19,102.62,99.843,102,2378.28605114,4035.057983116499
1543766400,102,102.18,98.238,101.21,995.93799302,3834.3204568874994
1543780800,101.21,102.7,100,100.26,1399.38914167,3148.6069006949997
1543795200,100.25,100.73,94.421,94.718,1724.59905922,3069.2821340955
1543809600,94.723,96.784,93.2,95.14,3184.06222474,3070.987370893
1543824000,95.07,96.128,93.696,94.501,2132.31564214,2857.4479917265003
1543838400,95,96.723,92.101,94.9,7510.43260948,3084.149594742
1543852800,94.9,95.87,93.656,94.88,3097.04817049,2810.8676953490003
1543867200,94.88,96.662,94.001,96.638,523.76496512,2500.531628977
1543881600,96.316,96.426,90.372,91.801,1106.37240779,2342.257946158
1543896000,91.158,95.451,89,94.2,1613.75997456,2301.6063247109996
1543910400,94.504,94.894,92.746,94.18,939.15396029,2253.6617931839996
1543924800,94.18,94.694,92.597,93.272,760.95726493,2175.8164042434996
1543939200,93.147,93.272,90.546,91.17,996.83366134,2066.716270034
1543953600,91,91.916,90,90.472,480.33988865,1915.0078541855
1543968000,90.472,90.5,86.7,87.38,2177.32431108,1964.3757757940002
1543982400,87.255,89.208,85.534,86.071,2260.71887774,2005.3705607135003
1543996800,86.001,89.267,86,89.267,4037.35236568,2118.0012231080004
1544011200,89.317,94.677,89.317,92.394,4393.82062794,2238.5756899375
1544025600,91.4,91.4,88,88,1017.60341673,2136.5036306875004
1544040000,88,89.35,86.661,87,785.82865507,2056.8807608840007
1544054400,87.411,91.1,86.66,90.401,1403.8740731,2077.2775648880006
1544068800,90.402,92.548,88.857,92.496,801.98922594,2047.4075691015005
1544083200,91.991,92.49,89.534,92.42,2445.43141954,2083.4491871175005
1544097600,92.063,109,92.06,102.57,9443.04442074,2396.3982969175004
1544112000,101.8,105,98.311,103.56,2658.18310799,2422.69167021
1544126400,103.27,108.92,101,104.7,3042.17490034,2199.2787847530008
1544140800,103.2,114,101.79,111.51,13318.46693301,2710.3497228790006
1544155200,110.53,113.86,103.99,108.51,8248.37540388,3096.5802448170007
1544169600,108.88,113.49,106.41,106.5,3978.38994206,3240.181121530501
1544184000,106.5,107.12,103.9,105.23,3113.92420798,3315.189333201501
1544198400,105.23,106.69,97,102.7,4329.07878271,3484.685574322501
1544212800,102.14,105.9,101.29,105.24,1184.39511581,3505.857466866501
1544227200,105.43,106.1,100.85,104.26,1500.95621618,3531.063594608501
1544241600,103.7,104.35,101.5,102.78,523.24478945,3533.2088396485
1544256000,101.7,105.44,100.13,103.85,2096.22980441,3529.1541143150002
1544270400,102.9,104.11,100.74,102.9,409.14424598,3436.5753827270005
1544284800,102,102,99.21,99.999,1293.90023715,3299.4027763005006
1544299200,100.3,104.99,98.21,99.7,2029.48068431,3181.185779119
1544313600,100,100.99,97.65,98.86,1321.19837263,3196.365526914
1544328000,98.536,98.66,94.2,98.573,1952.28773327,3254.688480824
1544342400,98.25,98.25,96.079,97.418,728.68334824,3220.928944581
1544356800,96.7,102.1,96.401,100.45,1881.66963036,3274.912964802
1544371200,100.3,100.3,97.037,98.001,2282.4999728,3266.766392465
1544385600,98.775,100.06,97.994,98.288,437.95113467,2816.5117281615
1544400000,98.529,102.83,98.217,102.04,757.61235205,2721.4831903645
1544414400,102.04,102.04,98.222,99.284,374.91830086,2588.1203603905
1544428800,99.382,101.95,98.418,98.631,983.11810532,1971.3529190059999
1544443200,98.928,99.307,95.722,95.722,799.11849689,1598.8900736564997
1544457600,95.891,97.273,95.89,96.579,356.57015794,1417.7990844504998
1544472000,97.155,97.535,96.22,96.22,290.2316072,1276.6144544115
1544486400,96.22,96.22,91.976,93.5,1347.50050048,1127.5355402999999
1544500800,93.6,95.124,91.66,92.289,1505.91380362,1143.6114746905
1544515200,92.176,93.994,90.29,90.755,1350.94916898,1136.1111223305002
1544529600,90.29,90.687,88.6,88.702,907.90729172,1155.344247444
1544544000,88.632,92.759,87.701,90.111,938.05182549,1097.4353484980002
1544558400,89.775,91.544,89.179,90.812,461.39771427,1100.0480219125002
1544572800,90.209,90.209,88.426,89.055,271.49631541,1048.9278258255003
1544587200,88.55,89.777,88.042,89.777,643.92673904,979.6501285620001
1544601600,90,92.05,89.926,91.67,671.08205458,947.1443126595002
1544616000,91.67,92.05,90.582,91.75,615.98663966,880.3292579790002
1544630400,91.264,92.049,89.503,90.856,249.61746683,856.3759639085004
1544644800,91.364,91.801,89.354,89.699,397.29550743,782.1572577620003
1544659200,90.225,90.23,88.123,88.123,286.02842572,682.3336804080003
1544673600,88.123,88.313,86.373,86.449,207.67771682,670.8200095155004
1544688000,86.422,87.937,86.214,86.741,448.0005256,655.3394181930004
1544702400,86.741,88.021,86.298,86.81,69.67142571,640.0770744355003
1544716800,86.439,86.658,82.82,85.565,2079.35254567,694.8887964530003
1544731200,85.717,86.732,78.441,79.408,2640.19074719,786.9424089680003
1544745600,79.1,81.717,75.81,80.272,2462.46662305,892.2372322235002
1544760000,80.752,82.6,80.037,80.856,1804.78221533,967.9647626300002
