time,open,high,low,close,volume,Volume MA
1483228800,966.61,967.79,965,965.5,156.19710843,NaN
1483236000,965.59,966.59,963.16,964.49,119.74612849,NaN
1483243200,963.84,965.2,961.26,964.88,171.38933362,NaN
1483250400,963.9,967.45,962.72,965.81,133.06767713,NaN
1483257600,965.81,966.57,962.6,965.98,181.82191339,NaN
1483264800,965.99,978.89,965.99,978.16,1743.44041939,NaN
1483272000,977.11,978.59,970.85,976.89,359.95213775,NaN
1483279200,976.58,982,976,981.96,552.93295849,NaN
1483286400,981.97,999,976.24,994.31,5156.8511124,NaN
1483293600,993.75,1005,993.68,999.52,1522.15357212,NaN
1483300800,999.5,1006.5,999.5,1004.6,1238.25503253,NaN
1483308000,1004.5,1006.5,991.51,998.99,1118.19885822,NaN
1483315200,999,1002.7,997.3,1002.4,602.41791933,NaN
1483322400,1001.6,1015,1000.5,1013,1095.9134184,NaN
1483329600,1014,1018,1008.9,1011.4,613.96619659,NaN
1483336800,1012,1018.9,1010.4,1018.2,631.73464659,NaN
1483344000,1018.2,1022.4,1010.5,1021.4,1772.78130261,NaN
1483351200,1021.7,1034.5,1020.2,1034.5,1830.67804766,NaN
1483358400,1034.4,1035,1005.5,1018.9,2694.45297786,NaN
1483365600,1020.8,1030.2,1018.1,1030,1647.30393796,1167.162734948
1483372800,1030,1033.2,1021.2,1026.7,1871.8891327,1252.9473361615
1483380000,1026.7,1029.7,1010,1012.5,1567.88843848,1325.3544516610002
1483387200,1012.5,1024.8,994.1,1015.9,4100.01627049,1521.7857985045
1483394400,1016,1025,1016,1019.3,1015.94610177,1565.9297197365001
1483401600,1019.6,1029.7,1019.2,1026.6,847.63763462,1599.2205057980004
1483408800,1027.5,1031,1016.2,1027.9,1128.75258901,1568.486114279
1483416000,1027.9,1029.7,1020.3,1025.1,455.39721947,1573.2583683650003
1483423200,1025.1,1026.9,1016,1021.2,963.25799435,1593.774620158
1483430400,1021.3,1022.1,1013.5,1016,1042.67304986,1388.065717031
1483437600,1016.2,1022.7,1013.5,1022.4,594.66544476,1341.6913106630002
1483444800,1022.4,1027.3,1017.7,1020,981.73604346,1328.8653612095002
1483452000,1020.9,1024,1015.3,1020.6,1179.42246753,1331.9265416750002
1483459200,1020.6,1022.4,1017.3,1021.7,458.72889951,1324.7420906840002
1483466400,1021.4,1025,1019.3,1022,825.784722,1311.2356558640001
1483473600,1022,1032.5,1021.6,1029.9,1576.07833375,1359.341262722
1483480800,1029.9,1040,1027.3,1037.5,2890.14647081,1472.261853933
1483488000,1037.6,1050,1036.4,1045.3,2824.20883909,1524.833230757
1483495200,1045.3,1050,1041.5,1049.4,1509.7091173,1508.784784239
1483502400,1049.4,1060,1049.1,1059.9,2701.45042759,1509.1346567255
1483509600,1059.9,1065,1055,1057.2,1848.43960272,1519.1914399635
1483516800,1058.4,1067.5,1051.7,1067.3,1345.9079897,1492.8923828135
1483524000,1067.3,1085.5,1066,1083.1,3490.70183514,1589.0330526465
1483531200,1083.1,1095,1077.6,1095,2492.19286743,1508.6418824935001
1483538400,1095,1097,1060.6,1086.4,5734.17366723,1744.5532607665002
1483545600,1086.4,1135,1085.6,1134.9,8468.35936359,2125.5893472150005
1483552800,1134.8,1140,1110.1,1124.9,6996.57104796,2418.9802701625003
1483560000,1125.7,1133.4,1090,1093.7,5920.24230791,2692.2225245845
1483567200,1095,1150,1094.8,1139.6,6602.23244451,2974.1712470925004
1483574400,1138.3,1143.5,1091,1137.3,6747.48896161,3259.4120426800005
1483581600,1138,1149.8,1121.9,1143.7,3661.34471631,3412.7460062575
1483588800,1145,1166,1138,1158,3251.63725543,3526.2410668560005
1483596000,1158,1163.7,1140,1146.1,2055.33492364,3570.0366896615
1483603200,1148.8,1149.6,902.88,1073.1,6446.32534697,3869.4165120345
1483610400,1073.2,1108,1070,1088.7,4175.68402928,4036.9114773985007
1483617600,1088.6,1089.2,851,930.71,20435.38626594,4979.876874008
1483624800,930.71,992.23,921.11,991.4,8353.71403912,5253.055252423501
1483632000,992,992.01,920,960.4,5841.68430244,5403.929025591
1483639200,959.49,984,940,956.1,3678.83784958,5512.385462205
1483646400,956.02,973.99,945.6,966.99,1497.08380891,5452.1671312710005
1483653600,967,1019,966.99,1003.2,4426.42552257,5581.066427263501
1483660800,1003.8,1025,998.1,1011.4,4314.43251812,5729.4926536845005
1483668000,1010.9,1016.4,940,983.94,4019.76228698,5755.9456762765
1483675200,982.5,985,966.32,980.59,1473.29122285,5705.0005940475
1483682400,979.29,984.58,970.3,980.9,980.45624416,5467.314722894001
1483689600,980.9,980.9,915,935.1,5945.06176972,5341.149843200501
