time,open,high,low,close,volume,Volume MA
1364688000,93.3,100,93.03,93.10001,378.15574231,NaN
1364774400,93.17,105.9,92.49999,102.37,4919.65412713,NaN
1364860800,102.8,118.3880667,99,117.98999,9084.83281592,NaN
1364947200,116.5790967,146.88,101.51088,134.9529689,12909.40217815,NaN
1365033600,131.7796862,143,119,132.681,6910.10041349,NaN
1365120000,132.75,145,131.503,140,4838.18497163,NaN
1365206400,141,144,140.902,143.97,2170.75030329,NaN
1365292800,144,174.4,143.501,174.4,3735.13031724,NaN
1365379200,172.5,200,166.693,194.5,10616.2750732,NaN
1365465600,190.51,249.97,188.898,233.115,6188.91889415,NaN
1365552000,233.49,290,19.9,170.986,17906.04222014,NaN
1365638400,169.005,188,1.06,120,15024.78172248,NaN
1365724800,111,157,51,114.71,43253.49325315,NaN
1365811200,112.974,123.878,81.12,97.599,19843.72797545,NaN
1365897600,98.771,109,20,95,16732.68495874,NaN
1365984000,95,104,71.497,78.001,16361.2300091,NaN
1366070400,77.502,82.5,0.01,70.11,26137.58438334,NaN
1366156800,70.304,98.9,70.095,91.797,20450.76431541,NaN
1366243200,90,114.28,88.839,114.28,8005.04806461,NaN
1366329600,114.07,142,110,116.95,21905.83536899,13368.629855395997
1366416000,116.401,132,115,126,4621.18409622,13580.781273091497
1366502400,126,129.45,110,121,11580.98597852,13913.847865660999
1366588800,121.8,129.75,120,127.596,8104.99347638,13864.855898683998
1366675200,127.612,145.9,126.5,145.9,11532.9540068,13796.033490116499
1366761600,144.34,166.99,140.9,154.15,24751.63455279,14688.110197081498
1366848000,154.03,169.13,120.03,136.4,22857.32867818,15589.067382408999
1366934400,135.852,139.189,13,134.7,12185.69412188,16089.814573338497
1367020800,136,147.51,121.46,131,8035.49033222,16304.832574087495
1367107200,131.05,136.99,129.55,135.81,6799.44134961,16113.990887907994
1367193600,135.928,148.5,113.42,144.21,10304.73582066,16319.781734233495
1367280000,144.21,146.6752,133.89,139.88,10218.26846292,15935.393046372494
1367366400,139.88,139.88,105,113.209,24644.38215483,16416.373067989993
1367452800,113.5,127.18,90.414,104.41,29828.26689093,15745.111749878992
1367539200,104.72,104.73,80,95.49,32834.49968717,16394.650335464994
1367625600,95,116.13,94.46,114.8,15641.36289456,16340.084232255991
1367712000,114.94,126,100,116.89,12094.69894783,16126.757679192491
1367798400,116.94,124.3,106,110,12864.62751303,15463.109835676994
1367884800,108.9,113.7,98,113.49,15143.67696715,15197.755468263995
1367971200,113.54,116.98,108.23,110.12,9113.31916386,15253.169023226495
1368057600,109.37,113.298,108.9,112.5,2840.88373532,14299.921441542994
1368144000,112.1,122.5,111.4,118.38,7728.14475669,14455.269474566496
1368230400,118.38,118.9,112.72,115.02,3704.98821061,14061.469586170995
1368316800,115.5,118,113,116,2785.58034464,13795.498929583995
1368403200,116.35,118.97,114.07,117.2,2518.94055761,13344.798257124494
1368489600,117.5,119.85,103.45,106.65,13190.23189472,12766.728124220994
1368576000,106.5,117,104.1,110.96,6340.10415431,11940.866898027492
1368662400,112,119.1,108.28,114,5488.03780893,11605.984082379993
1368748800,114.01,122,112.35,117,4155.98062351,11412.008596944494
1368835200,117.84,118.98,115.81001,117.99,2009.73233964,11172.523146445994
1368921600,118.45,120.99,115.61,118,1392.76377313,10726.924544069494
1369008000,118,118.94,116,118.44,872.06485072,10259.614363459494
1369094400,118.29,118.6,117,117.99,1884.37729912,9121.614120673994
1369180800,117.91,120,117,119.19,2514.45393124,7755.923472689492
1369267200,119.44,124.25,118.6,123.97,4068.23548175,6317.610262418491
1369353600,124.04,130,122.4,129.19,7842.17570453,5927.650902916992
1369440000,129.25,129.73,125.1,128.49,2648.3599557,5455.333953310492
1369526400,129,133,128,130.19,2961.43379381,4960.174267349492
1369612800,129.435,130.59,123,126.78,3424.55054519,4374.217946251492
1369699200,126.16,127,123,126.69,2573.82772973,4047.2433745449916
1369785600,126.73,140.68,125.67,129.79,3570.11190048,4083.7047828029913
1369872000,129.8,131,124.15,125.8,4806.8825098,3937.641670458491
1369958400,126.54,129.1,126,127.9,2172.91266204,3861.037893029991
1370044800,127.9,129,127,128.79,947.96948972,3769.1573502839915
1370131200,128.78,132.65,117,120,12638.37050532,4275.128847669492
1370217600,120,132.87,117,123.03,4010.12211142,3816.1233585044915
1370304000,123.58,123.78,116.42,120.02,5134.9958556,3755.867943568992
1370390400,120.9,122.37,119.6,120.16,1400.43905156,3551.488005700491
1370476800,120.06,121.08,118,118.09,1290.66727574,3408.2223383119913
1370563200,118.09,118.7,107,110.02,9690.30157393,3792.250800026491
1370649600,110,112.5,108.45,108.8,1839.24262955,3814.574742847491
1370736000,108.8,110,89.9,97.4,16609.46399561,4601.444700091992
1370822400,97.2,108,93,105,8857.46029819,4950.098850045491
1370908800,104.5,108.03,103.4,107.32,3197.72382877,4984.262344921992
1370995200,107,119,105,107.25,5021.60651626,5031.930896647491
1371081600,107.27,109.14,95,100.8,6291.50329323,4954.397276082491
1371168000,100.49,107.36,96.22,98.34,4510.05922594,5047.482239594491
1371254400,98.34,104,97.1,99.99,2338.75998234,5016.3485490209905
1371340800,99.99,101.1,98.66,98.7,1208.9259396,4905.56731874149
1371427200,98.9,101.01,98.3,100.65,1265.81455265,4840.166659887491
1371513600,101.28,108.5,99.99,103.65,6087.69297486,4966.045713606491
1371600000,103.97,107.5,102.99,105.3,2778.99095087,4864.65113565999
1371686400,105.3,108,91,103,7024.92314931,5107.25166002349
1371772800,103,105,96,101.5,4356.90363564,5277.69836731949
1371859200,101.43,102.4,98.49,99.53,1177.66237993,4704.66296104999
1371945600,99.53,101.5,98.6,100.5,774.33420412,4542.87356568499
1372032000,100,102.13,95.38,99.27,2836.30230564,4427.93888818699
1372118400,98.54,100.9,97.5,98.2,3453.50485153,4530.59217818549
1372204800,98.21,100,96.99,97.85,1436.7594521,4537.89678700349
1372291200,98.37,98.47,93,93.91,2473.24450761,4177.04393368749
1372377600,92.82,96.4,88.01,88.83,6291.04482538,4399.63404347899
1372464000,88.01,91.6,86.15,88.74,1619.08578605,3650.1151330009898
1372550400,88.47,90.25,88.26,89.24,534.21665722,3233.952950952489
1372636800,89.52,91.56,1,85.34,10920.27821825,3620.080670426489
1372723200,85.08,89.56,83.24,88.2,3189.45653643,3528.4731714349896
1372809600,88.01,88.41,75,77.29,8648.99871259,3646.3479424029892
1372896000,77.3,82,70.04,78.12,6930.47134722,3767.368548466989
1372982400,78.01,79.17,64,66,13857.06833592,4343.283966145989
1373068800,66,73.26,62.94,64.89,10296.58125449,4797.666731890489
1373155200,65.6,74.1,65.1,72.99,5763.60506475,5022.556257495489
1373241600,73.7,77,70,74,7430.01454635,5089.672336069989
1373328000,74,76.01,70.47,75.83,7081.46466089,5304.796021570989
1373414400,74.84,89.23,74.83,86,12139.47331764,5560.523529987489
1373500800,86,90,84,90,6924.99315878,5688.92800614449
1373587200,89.89,101.39,86.64,88.93,14005.61476541,6330.32562541849
1373673600,88.87,92.5,85,91.34,4131.9895409,6498.20839225749
1373760000,91.59,93,88.41,90.01,2241.1773301,6468.45214348049
1373846400,89.66,99.83,82.45,93.82,5811.54314517,6586.354058162491
1373932800,93.81,94,84.7,91.79,2430.27678839,6636.029924976991
1374019200,92.01,92.8,88.4085,90.6,2020.85109442,6613.410254317491
1374105600,90.6,91,77,83.54,7520.65640105,6674.890833100991
1374192000,83.64,87.1,83.4,85.42,4763.50739457,6832.111913526991
1374278400,86,87.2,84.27,85.04,1185.84085539,6864.693123435491
1374364800,85.51,86.4,84,85.84,2295.84782549,6433.471603797491
1374451200,86.04,87.1,83.99,86.18,1822.89536251,6365.14354510149
1374537600,86.23,88.67,82.99,86.91,2751.39615702,6070.263417322991
1374624000,86.92,95.68,86.46,88.39,1683.08152966,5807.893926444991
1374710400,87.87,91.99899,87.15,89.92,3391.61340184,5284.621179740991
1374796800,89.79,91.72,89.2,89.95,835.71673165,4811.577953598991
1374883200,89.95306,90.11,87.8,88.01,1439.30444457,4595.362922589991
1374969600,88.24,94,87.92,93.05,3477.00690765,4397.712540654991
1375056000,92.47977,93.73,90.54,92.85,2652.52280634,4176.265447927492
1375142400,92.7,97.72,92.7,97.41,3755.42686434,3757.0631252624917
1375228800,97.99,101.03,95.1,98.46,5622.56213092,3691.9415738694915
1375315200,97.72,98.24265,95.21,96.59,3545.52938447,3168.937304822492
1375401600,96.52,98.7,93.75,96.33,5492.99320451,3236.987488002992
1375488000,96.7,97.23,94.67,96.22,2285.47804037,3239.202523516492
1375574400,96.2,96.7,95.83,96.38,937.93472883,2995.5221026994923
1375660800,96.51,98.91,96.21,97.6,2997.7509831,3023.895812434992
1375747200,97.8,98.9,97,97.83,2604.84095091,3053.095305259492
1375833600,97.83,98.3,95.5,97.17,1557.65339524,2754.945154968992
1375920000,96.94,97.14,91.4,95.25,5268.49395576,2780.194483028492
1376006400,95.16,95.51,89.51,92.28,5259.31927852,2983.868404184992
1376092800,92.28,94,92.14,93.7,912.33564272,2914.6927950464915
1376179200,93.7,94.52,93.2,94.51,428.14419434,2844.9552366379917
1376265600,94.49,96.24,93.31,94.8,3033.15167686,2859.0430126299916
1376352000,94.67,98.2,94.53,97.58,3710.83380465,2960.430626379492
1376438400,97.46,101,97.36828,99.13,7718.30260675,3176.7650866249924
1376524800,99.12,100.01,96.24,98.46,1751.063824,3222.532441242492
1376611200,98.54,99,96.53,98.24,1942.45525095,3247.689981561492
1376697600,98.22,100,97.5,99.04,1735.72947456,3160.626109906992
1376784000,98.52,99.75,98.42,99.43,757.95953601,3065.897946390492
1376870400,99.25,105,98.82,102.99,7068.60837043,3231.557021694992
1376956800,102.99,106.49,100.48,106.35,5052.0403688,3203.0309335889915
1377043200,106.14,114.45,105,110.57,8480.41252652,3449.7750906914916
1377129600,110.76,113.01,107.99,109.39,3894.31855642,3369.8413582869916
1377216000,109.39,110,104.3,107.97,5235.64818856,3517.349865696491
1377302400,107.42,110.6,106.61,109.27826,2746.59355714,3607.782807111991
1377388800,109.27826,114.76,109.27826,112.86,6030.70726691,3759.430621302491
1377475200,113.23,113.9,110,112.75,4238.88838163,3841.1329928384903
1377561600,113,119,111.77,118.47,8744.51605421,4200.47612578699
1377648000,118.37,119.76,116,117.54,3645.11403303,4119.30712965049
1377734400,117.4,121,117.4,119,2619.25770623,3987.3040510359906
1377820800,118.88,126.3,118.05,125.28,9776.67055603,4430.52079670149
1377907200,125,134.94,123.75,130.01,12841.23802524,5051.17548824649
1377993600,130.01,132,126.98,130.54,1638.43650068,4981.439729437491
1378080000,130.65,132.05,128,129.4,4211.10894619,5006.453486514491
1378166400,129.92,131,126.9,129.6,3644.26190216,4802.75145128499
1378252800,129.61,129.92,115,117.15,10127.39127462,5221.567823815991
1378339200,117,127.99,116.39,122.28,6593.00692501,5454.095407518991
1378425600,122.48,124.75,115,117.27,6029.17292761,5668.767580171491
1378512000,117.21,121.10889,115.6,119.8,2501.5743816,5755.948322450991
1378598400,119.8,120.67,116.77,117.5,2948.586761,5549.947241979491
1378684800,117.4,124,115.98561,121.79,8124.23444312,5703.556945695492
1378771200,121.16,124.24,120.07,122.07,3446.03343765,5451.837991251991
1378857600,122.34,127.79,118.39,127.02,10030.14018359,5758.629072610492
1378944000,127.76,128.5,123,126.37,4567.10419724,5725.2018730444925
1379030400,126.44,129.11,126.06914,127.78,2209.78218772,5698.361304573492
1379116800,127.89,127.98,122.53,123.77,3586.17940136,5576.134911295992
1379203200,123.501337,126.35,123.15,125.75,1925.9661572,5460.488800074492
1379289600,125.65,126.84,124,125.84,1680.75228091,5107.3006114094915
1379376000,126.38,127.74,125.32,126.79,2024.113268,5026.250573157992
1379462400,127.08,128.41,125.78,127.05,3762.89265998,5083.4323208454925
1379548800,127.09,127.63,123.39,124.71,3829.67689163,4786.082637625493
1379635200,124.9,125.66,121.5,122.45,3562.69930763,4322.155701744992
1379721600,122,124.02,122,123.01,929.21389091,4286.694571256492
1379808000,123.3,123.64,122.22,123.31,1080.62143229,4130.170195561493
1379894400,123.49,124.09,122,123.35,2612.79957377,4078.5970791419923
1379980800,122.6,124.38,121.89,124.38,2970.42383538,3720.748707179993
1380067200,124.48,125.22,123.3,124.55,1900.58157172,3486.127439515493
1380153600,124.25,125.02,123.32,124.2,1070.39429452,3238.1885078609926
1380240000,124.4,126.92,124.37,126.62,2625.30062617,3244.3748200894925
1380326400,125.97,127.05,124.8,126.56,2644.01085273,3229.1460246759925
1380412800,126.9,128.8,126,126.54,2792.71270425,2962.5699377324927
1380499200,126.69,127.51,123.76,126.05,3046.06545268,2942.5715384839923
1380585600,125.99,127.9399,125.95,127.43,2411.90596931,2561.6598277699923
1380672000,126.99,128.5,83.26,105.3,41044.28406865,4385.518821340493
1380758400,104,118.95,103.5,118.95,9281.02760562,4739.081092235492
1380844800,118.95,123.25,117.81,121.89,6289.75018939,4874.259631636992
1380931200,121.78,125,115,121.01,1345.88078965,4845.255363259492
1381017600,121.51,122.9,121.02,122.9,462.21231791,4784.328365109492
1381104000,122.87,124.45,120.8,123.69,4508.93234916,4908.569319167491
1381190400,124.16,125.16,122.02,124.9,4897.28685298,4965.289028817491
1381276800,124.98,127.99,123.36,125.94,6879.29500669,5117.7699345704905
1381363200,126.5,126.9,125,126.54,1907.92580186,5035.03125928199
1381449600,126.54,127.44,125.54,126.97,2188.38996085,5097.99006277899
1381536000,127.4,127.96,126.65,127.6,1608.85567704,5124.40177501649
1381622400,127.89,133.4,127.55,133.4,6272.9532495,5307.40945880299
1381708800,133.12,139.99,132,136,12137.22240344,5765.74938720599
1381795200,136.12,150,134.09,144.6,11536.86596867,6247.56360705349
1381881600,145.29,147,137.21,138,14867.27348926,6937.407566790491
1381968000,137.48,144.98,133.99,143.5,5376.31277255,7074.958174109491
1382054400,143.5,155.25,143.25,153.21,14548.07921901,7670.161592423491
1382140800,153.66,178.5,151.5,165.56,20339.68292737,8547.51010357949
1382227200,165.11,168.875,162.31,166.8,4124.20446895,8601.41705439299
1382313600,166.81,183.66,166.2,183.66,12999.59531594,9130.801521724492
1382400000,182,215,179.1,192.25,18841.91001131,8020.682818857493
1382486400,192.42,212.89,187,209.735,13223.15125041,8217.789001096993
1382572800,209.7,209.73,155.81,191.77657,41907.74341615,9998.688662434994
1382659200,193.68,195.13,167.75,183.9,20078.57860317,10935.323553110993
1382745600,183.9,187.79,175.21,181.93,6167.38029985,11220.581952207995
1382832000,181.05,198.75,180.34,193.06,6109.88748534,11300.629709016994
1382918400,193.85,199,192.15,196.98,5377.29396423,11324.630064579495
1383004800,196.21,205,195.5,204.18,8262.65399732,11393.798014110995
1383091200,203,206,195.05,199.07,14163.86792845,12006.595120440496
1383177600,198.9,204,195.28,202.19,5137.01819605,12154.026532200494
1383264000,201.91,203.8,200.5,201.95,1996.75507321,12173.421502008994
1383350400,203.14,205.79,202.23,204.06,4000.28384417,12059.788031742493
1383436800,203.81,219.89,203,212,5187.84085974,11712.318954557493
1383523200,213.7,230.5,212.1,227.71,11988.9366841,11734.922490328992
1383609600,229.65,250.75,225.44,241.97,23353.67713298,12159.242672514993
1383696000,245,269,240.6,265.9,28720.3571231,13326.444890042494
1383782400,265.07,297.79,262,295.37,35248.76262814,14361.479060498992
1383868800,295.37,340,292,339.11,22990.9690176,14494.043365010491
1383955200,340.18,386,297,325.98,32100.45480949,15892.855882037493
1384041600,325.98,332.98,265.11,326,33308.69903152,16908.311067816492
1384128000,320,357.95,311.56,349.99,10335.27618489,16482.979376495492
1384214400,349.99,400,340,363.15,13556.00199163,16499.621913556493
1384300800,363.97,414.73,357.8,406.34,12952.61012176,15051.865248836993
1384387200,405.25,423.5,392.8,416.67,14213.58001666,14758.615319511493
1384473600,417.8,439.94,388.011,416.3403,17880.19176522,15344.255892779993
1384560000,419,448.95,415.31,437.7,9445.55541482,15511.039289253991
1384646400,435.83,499.99,435.07,496,9855.63586705,15734.95638439499
1384732800,495,789,492.11,779,23414.22852455,16492.53511075649
1384819200,795.99,909,360,500.01,38353.96125456,17702.03977706199
1384905600,499.99,630,450.01,602,25277.69940984,18709.073837751486
1384992000,601,745,589.9,717.03,17558.20364619,19487.146266400487
1385078400,723.6799,839.77,682.32,817.75,12447.56638276,19909.51039332999
1385164800,817,886.876543,775,837.65,9652.67526044,20132.75211336499
1385251200,838,860,745,828.7284,11975.7396778,20132.092263049988
1385337600,828.7183,844.579,768,812,9419.33522794,19435.375167797985
1385424000,815,960,800,930,10545.04265077,18526.609444181486
1385510400,928.0001,970,894,969,12724.06723731,17400.374674639985
1385596800,969,1050.34,945,1012.75,9147.52297855,16708.202372687483
1385683200,1004.68,1145,999.12,1143,9342.62116663,15570.310690544484
1385769600,1142.99,1171.25,1090,1116,4839.6441428,14146.857946108485
1385856000,1119.5,1126,780,998.89,31961.94545127,15228.191409427483
1385942400,998.89,1059,936,1037.11,11370.65780105,15118.924199898483
1386028800,1035.44,1089.88,1000,1058.69445,5754.97781766,14759.042584693485
1386115200,1054,1175,1052,1130,6670.70346667,14381.898757193985
1386201600,1130,1139.25,848.42,982.23,24130.54012036,14694.416174950984
1386288000,983,1018.99,790,815,28852.95128742,15664.785968580985
1386374400,815.0202,830,538,695,43325.78257174,17338.293303815484
1386460800,695,790.39,650,783.46,13257.7318784,16830.468471507986
1386547200,784,943.9999,778.11,928,16886.68877766,15757.10484766299
1386633600,925.25979,992,895,984.7,10093.71611309,14997.905682825489
1386720000,984.9,990,804.26,886.02,16076.22389115,14923.806695073488
