time,open,high,low,close,Volume,Volume MA
1514764800,13763,13788,13505,13607,1450.46631948,NaN
1514768400,13621,13655,13251,13281,1410.71015832,NaN
1514772000,13280,13440,13214,13362,1227.43575356,NaN
1514775600,13363,13591,13310,13394,1064.9225893,NaN
1514779200,13393,13584,13262,13584,855.196647,NaN
1514782800,13584,13608,13479,13501,533.23706709,NaN
1514786400,13511,13839,13435,13781,1163.31981821,NaN
1514790000,13780,13893,13603,13617,968.11121273,NaN
1514793600,13616,13751,13389,13417,1339.96869456,NaN
1514797200,13417,13622,13416.49288463,13582,941.40289991,NaN
1514800800,13573,13585,13427,13543,473.34413736,NaN
1514804400,13543,13550,13072,13231,2311.44756364,NaN
1514808000,13234,13265,13092,13144,1002.09213392,NaN
1514811600,13143.07847833,13162,12900,13022,2005.99281689,NaN
1514815200,13022,13200,12777,13193.44429002,2352.14710532,NaN
1514818800,13171,13290,13085,13208,1229.5512874,NaN
1514822400,13208,13209,12969,12997,1042.42037913,NaN
1514826000,12999,13177,12986,12993,704.54712799,NaN
1514829600,12993,13289,12950.00953353,13105,1473.62034539,NaN
1514833200,13106,13253,13050,13249,785.69703752,1216.781554736
1514836800,13249,13499,13249,13404,1556.90855858,1222.103666691
1514840400,13404,13662,13382,13505,1718.76133474,1237.5062255120001
1514844000,13505,13637,13465,13483,872.87098099,1219.7779868835
1514847600,13478,13492,13341,13376,1080.75758323,1220.5697365800002
1514851200,13375,13898,13373,13817,2739.89531674,1314.804670067
1514854800,13816,13863,13609,13611,1549.05819416,1365.5957264205001
1514858400,13612,13656,13416,13550,2008.91297568,1407.875384294
1514862000,13551,13551,13200,13316,2166.51381107,1467.795514211
1514865600,13316,13382,12795,13045,3382.613722,1569.927765583
1514869200,13045,13166,12997,13091,1399.27412769,1592.8213269720002
1514872800,13091,13327,13008,13266,835.2279427,1610.915517239
1514876400,13266,13370,13144.78756118,13354,851.75213997,1537.9307460554999
1514880000,13355,13452,13326.15344954,13376,816.5318143,1528.6527300745
1514883600,13376,13568,13372,13492,1317.32123258,1494.219150859
1514887200,13493,13679,13491,13631,1097.53180724,1431.488385955
1514890800,13631,13631,13426,13532,1018.75152596,1420.9483978829999
1514894400,13531,13625,13503.20378177,13578,1010.67466631,1419.361112242
1514898000,13578,13979,13565,13946,2442.48653106,1506.2580823955
1514901600,13946,13969,13744,13788,1541.74560774,1509.6643455129997
1514905200,13787,13884,13577,13712,1529.71814847,1546.8654010604998
1514908800,13711,13895,13663,13675,1378.65099803,1537.9525230329998
1514912400,13675,13938,13674,13889,1991.38947554,1551.583930073
1514916000,13889,14786,13888,14616,8579.86218467,1936.9334902569997
1514919600,14616,15500,14601,14820,7864.65084502,2276.1281533465
1514923200,14821,15285,14821,14826,4572.45891854,2367.7563334364995
1514926800,14827,15016,14700,14802,2065.01362203,2393.5541048299992
1514930400,14802,15025,14773,14803,2396.04253735,2412.9105829134996
1514934000,14803,14892,14636,14722,1636.87458457,2386.4286215884995
1514937600,14717,14960,14692,14796,1636.49133919,2299.1225024479995
1514941200,14801,14868,14720,14823,1211.036585,2289.7106253135
1514944800,14824,15112,14740,15050,1959.22797216,2345.9106267864995
1514948400,15049,15249,14807,14843,1848.01005237,2395.7235224065
1514952000,14842,15186,14842,15100,1547.55092519,2432.274477951
1514955600,15100,15184.52562524,15014,15089,916.62848114,2412.239840379
1514959200,15089,15417,15020,15404,1743.42382025,2444.5344410294997
1514962800,15405,15428.83091885,15184,15281,1789.73336571,2483.0835330170003
1514966400,15281,15285,15052,15098,1638.02215633,2514.4509075180003
1514970000,15097,15125,14778,14820,2337.47268969,2509.2002154495003
1514973600,14820,14895,14507,14682,2795.44910898,2571.8853905115
1514977200,14683,14864,14632,14844,1298.82587554,2560.3407768650004
1514980800,14848,14871,14500,14594,1275.39350262,2555.1779020945005
1514984400,14594,14940,14552,14898,1094.37526583,2510.3271916090002
1514988000,14898,15072,14840,14868,1807.01295709,2171.6847302300002
