time,open,high,low,close,volume,Volume MA
1514764800,736.77,737.07,726,731.16,4234.62695691,NaN
1514768400,731.2,732.89,721.98,722.7,2546.01568847,NaN
1514772000,722.25,726.47,717.94,722,2791.74101714,NaN
1514775600,722,733,722,731.3,4711.99034101,NaN
1514779200,731.08,743.35,729.54,743.35,7072.17355673,NaN
1514782800,743.34,750.69,741.02,746.79,6705.81728368,NaN
1514786400,745.85,761,740.25,760.4,7911.19384182,NaN
1514790000,760.2,761.99,752,753.8,4610.12005662,NaN
1514793600,753.8,756,736,740.82,5048.78487828,NaN
1514797200,740.6,751.4,740.17,748.79,2490.62788377,NaN
1514800800,749.47,756.44,745.5,755.05,9507.93586281,NaN
1514804400,755.05,755.64,732,739.96,8607.86830061,NaN
1514808000,739.19,745.02,736.95,743.47,3633.27021022,NaN
1514811600,743.13,744.93,724.44,735.72,7623.02816059,NaN
1514815200,735.82,737.92,720.14,737.42,7361.70180422,NaN
1514818800,737.17,746.1,735.51,744.36,4498.49919767,NaN
1514822400,744.48,744.48,734.8,736.07,3379.23697877,NaN
1514826000,735.96,743.9,735.96,735.98,2510.527668,NaN
1514829600,736,741.59,733.5,737.43,2019.46803075,NaN
1514833200,737.98,745.98,737.39,744.5,2774.559348,5001.959353303499
1514836800,744.49,757,744.17,755.12,7759.38709074,5178.197359994998
1514840400,755.01,762,752.97,758.5,7746.76196174,5438.234673658499
1514844000,758.5,759.99,751.4,752.79,4658.74763995,5531.585004798999
1514847600,752.75,754,748.57,752.46,2843.0264076,5438.136808128499
1514851200,752.88,785,752.55,785,15422.53607172,5855.654933877999
1514854800,785,849.69,783.66,842.39,39312.81796734,7486.004968061
1514858400,844.42,890,830,857.85,68700.98926056,10525.494738997999
1514862000,857.85,858.58,802.36,819,58262.07419761,13208.092446047502
1514865600,819,844.05,812.68,827.31,27673.12086754,14339.309245510502
1514869200,827.52,849.94,827.46,836.88,11985.79774279,14814.067738461503
1514872800,836.89,848.87,835.69,842.98,11194.4579051,14898.393840576004
1514876400,843,844,837.39,843.9,11459.11196711,15040.956023901006
1514880000,843.9,846,828.44,835.4,10024.68794922,15360.526910851006
1514883600,835.4,840.84,826.27,838.08,17086.5657663,15833.703791136508
1514887200,838.02,849.9,838,849.83,11142.77225641,16022.757313746008
1514890800,849.83,855,840.02,846.67,13546.31483205,16475.148095465007
1514894400,846.67,849.99,842,845.01,7784.15667676,16695.394080364505
1514898000,845.02,867.4,841.42,865.61,14952.68472414,17317.501933171505
1514901600,865.61,868.75,857.13,863.28,15635.78585791,17998.317824529506
1514905200,863.15,869.55,858,863.4,16082.67630134,18663.723672196506
1514908800,863.4,874.9,860.41,862.9,14887.278235,19020.1182294095
1514912400,862.88,870,861.57,869.9,9053.52239528,19085.456251086503
1514916000,869.93,873.5,828.03,855.01,19428.36967143,19823.9373526605
1514919600,855.01,858.26,815.23,853.55,25631.66989601,20963.369527081006
1514923200,853.53,858.2,841.49,855.91,9212.68815439,20652.877131214504
1514926800,855.92,870,852.9,864.22,7714.1946879,19072.945967242507
1514930400,864.22,868,843.5,852.98,8497.43671779,16062.768340104007
1514934000,852.84,862.61,852.01,858.78,7095.19638327,13504.424449387006
1514937600,858.47,875,856.21,875,13408.95014454,12791.215913237005
1514941200,875,881.12,853.6,864,28500.88256645,13616.970154420003
1514944800,864,866,851.99,858.02,10378.32786339,13576.163652334502
1514948400,858.34,868.09,852.53,857.2,12873.16313406,13646.866210682001
1514952000,857.2,868.93,857.03,864.86,6537.89872583,13472.5267495125
1514955600,864.91,878.51,864.76,878.05,7101.25121159,12973.261021777002
1514959200,878.05,881.27,871.14,881.27,8170.45539712,12824.645178812501
1514962800,881.27,884.86,877.77,882.06,5426.98597653,12418.678736036502
1514966400,882.05,882.31,868.5,869.99,9219.43591259,12490.442697828003
1514970000,869.99,870,853.6,854.64,11539.73697493,12319.795310367503
1514973600,856.02,858.54,840,854.9,17861.14593895,12431.063314419502
1514977200,854.91,870,854.91,869.5,5581.92962245,11906.025980475002
1514980800,869.5,870.77,851.85,853.06,5551.6975533,11439.246946390002
1514984400,852.86,870.3,851,870.18,7716.19414434,11372.380533843001
1514988000,870.18,876,866.46,872.4,7621.62827289,10782.043463916001
1514991600,872.53,880.77,867.56,877.91,13613.93771539,10181.156854885001
1514995200,877.9,880,869.11,873.94,7007.92593177,10070.918743754002
1514998800,873.84,880,860,873.51,13835.69086909,10376.993552813503
1515002400,873.57,924.76,871.62,920.01,36154.26503387,11759.834968617502
1515006000,921.69,929.99,908.09,922.36,21368.80690706,12473.515494807003
1515009600,922.37,924.66,910,915.7,12563.0297238,12431.219473770003
1515013200,916.75,933.76,913.42,923,15899.18550108,11801.134620501503
1515016800,923,949,922.01,947.45,16962.01101857,12130.318778260502
1515020400,947.22,954.73,935.01,942.01,17189.98194189,12346.159718652003
1515024000,942.01,942.01,921,936.25,14645.48065733,12751.538815227002
1515027600,936.53,940,915.52,921,21621.05207996,13477.528858645503
1515031200,920.95,931.2,908.88,928,15115.71312972,13824.791745275503
1515034800,928,928,920.01,922.57,13058.77793308,14206.381343103003
1515038400,922.53,928,915,924.8,7001.15436255,14095.467265601003
1515042000,924.8,928,918.44,928,10153.17468848,14026.139151278501
1515045600,928,933,923.58,927.21,17158.16461797,13990.990085229501
1515049200,927.2,930,922.04,930,18441.63520968,14633.975364591
1515052800,930,942.02,905.09,910.8,23905.1384655,15551.647410201
1515056400,910.47,920,893.24,917.8,16886.50844186,16010.163125077
1515060000,918.8,929,915.03,926.35,9534.61096987,16105.812259926
1515063600,926.46,946.7,921.52,946.43,13188.72693004,16084.551720658501
1515067200,946.68,946.99,920,932.84,10687.68758547,16268.5398033435
1515070800,932.84,982,931.87,978.31,23754.60785097,16764.4856524375
1515074400,978.2,997,968.37,988.52,28084.92969932,16361.01888571
1515078000,988.52,989.85,972.64,980.99,14698.944387,16027.525759707001
1515081600,980.97,993,974,992,10620.387251,15930.393636067
1515085200,992,992.21,974.94,981.83,10759.15870463,15673.392296244498
1515088800,981.83,987.32,958.7,960.17,12418.7332199,15446.228406310998
1515092400,960,964.21,945,949.03,16179.86230028,15395.722424230498
1515096000,949.97,953,912.41,949,19681.90609136,15647.543695931998
1515099600,948.99,959.7,935.92,952,12863.00509074,15209.641346470997
1515103200,951.36,958.86,946.25,948.32,5874.66216899,14747.588798434497
1515106800,948.4,954.8,939.3,940.81,6700.40433208,14429.670118384496
1515110400,939.42,954.29,930.84,953.25,6664.18244478,14412.821522495997
1515114000,953.27,969.68,951.19,969,13358.02147507,14573.063861825498
1515117600,968.92,983.06,966.01,980.9,8542.66131407,14142.288696630498
1515121200,982,990,974.08,989.99,8872.41985756,13663.827929024497
1515124800,989.99,1005,970.58,1001,20784.07586699,13507.774799099
1515128400,1000.4,1005.2,981.52,996.75,13536.20297024,13340.259525517997
1515132000,996.89,1023.6,989.16,1013.7,17921.56742484,13759.607348266498
1515135600,1013.7,1014.9,992.93,1003,11636.27264281,13681.984633904998
1515139200,1002.9,1021,1002.9,1010.5,18602.05710818,14077.7031100405
1515142800,1010.5,1011.3,977.3,988.86,28849.49564952,14332.447499968
1515146400,988.88,1000,975,981.23,14356.6388587,13646.032957937
1515150000,981.14,1000,979.34,996,9981.82033847,13410.1767555105
1515153600,995.98,996.5,983.4,988.85,14226.52089245,13590.483437583001
1515157200,988.74,990,972.41,973,8101.49516035,13457.600260369003
1515160800,973,977,966.15,975.12,13387.2230204,13506.024750394
1515164400,975.01,977,971.93,974.99,7209.41429425,13057.502350092504
1515168000,974.99,975.97,948.4,955.78,16358.77385118,12891.345738083504
1515171600,955.8,963.61,930,939.2,17104.45633825,13103.418300459005
1515175200,939.39,959.99,936.3,959.01,10956.57011214,13357.513697616503
1515178800,959.29,977.6,955.53,964.56,10320.69841426,13538.528401725503
1515182400,965.72,979,964.4,968.66,7425.56140052,13576.597349512502
1515186000,968.65,968.65,942.17,956.3,10237.4124593,13420.566898724002
1515189600,956.16,962.58,937.02,940.38,6446.78791423,13315.773228732005
1515193200,939.99,971.16,938.32,962.77,7267.97860017,13235.551165862504
1515196800,962.74,976.9,957.84,969,6344.13720848,12513.554232937004
1515200400,969,969.01,951.38,966.06,6618.76180098,12167.682174474003
1515204000,966.19,979,955.08,979,6814.56859363,11612.332232913503
1515207600,978.92,979,965.82,969.29,8031.84550342,11432.110875944001
1515211200,968.28,985.25,963.03,984.61,5969.16704554,10800.466372812001
1515214800,984.61,989.49,979.01,980,5036.86484356,9609.834832514001
1515218400,980,995,976.65,991.1,4691.11514579,9126.558646868503
1515222000,991.2,998,987.64,990.06,5283.37708782,8891.636484336002
1515225600,990.07,998,990.07,997.69,3481.74217585,8354.397548506004
1515229200,997.69,999.8,995.78,998.1,4069.87262582,8152.816421779503
1515232800,998.1,1000,994.42,997.7,5299.23293915,7748.416917717002
1515236400,997.7,999,992.23,998.98,4160.91364032,7595.991885020504
1515240000,998.97,999,991.47,992.17,4584.51032507,7007.278708715004
1515243600,992.89,998.67,985.87,989.86,5442.11676496,6424.161730050504
1515247200,989.86,999,989.86,994.95,4394.70870045,6096.068659466003
1515250800,995,1011.5,994.6,1006.7,14900.91020339,6325.079248922503
1515254400,1006.6,1014.2,999.2,999.2,6681.48879234,6287.8756185135035
1515258000,999.22,1006.2,996.76,1003.4,2658.20413755,5908.915202426003
1515261600,1003.2,1004.2,986.78,993.4,4890.57939684,5831.104776556504
1515265200,992.9,1004,990.62,1004,3188.44763243,5627.128228169504
1515268800,1003.9,1008.9,1001.2,1003.2,2771.32307208,5448.487521349504
1515272400,1003.1,1005.3,997.32,1002.8,3714.95499097,5303.297180849004
1515276000,1002.9,1007.8,996.16,1003.9,4407.97913981,5182.967708158004
1515279600,1004,1007,1001,1004.3,4574.91680161,5010.121273067504
1515283200,1004.9,1013.9,999.5,1008.2,5741.04132294,4998.714986937504
1515286800,1008.3,1014.1,1004.1,1013.2,2518.17025598,4872.780257558504
1515290400,1012.5,1017.9,1011.4,1017,6931.6732586,4984.808163199004
1515294000,1017,1049.9,1015.9,1049.5,10375.35500339,5239.407058977504
1515297600,1049.4,1053.8,1034.6,1042.9,13350.75025751,5732.857463060504
1515301200,1042.7,1085,1040.7,1082.2,17379.57599453,6398.342631496003
1515304800,1082.2,1082.2,1054,1065.4,15470.90039589,6906.926004333002
1515308400,1065.3,1076.5,1063.9,1074.1,7580.36178555,7077.898411594501
1515312000,1074.4,1077,1067.4,1073,5608.5828677,7129.102038726001
1515315600,1073,1080.3,1071.9,1079,7970.70055081,7255.531228018501
1515319200,1079,1084.4,1079,1080.5,11590.27331978,7615.3094589850025
1515322800,1080.4,1080.9,1058.6,1071,8128.09938158,7276.668917894502
1515326400,1071,1075,1064.1,1072.8,5049.10286758,7195.049621656501
1515330000,1072.8,1074,1056,1063.6,7063.21591014,7415.300210286
1515333600,1063.6,1078,1063.6,1077,5643.19041493,7452.9307611905
1515337200,1076.8,1091,1062.8,1090.4,10077.53987338,7797.385373237999
1515340800,1090.9,1099,1086,1091.5,16104.08025646,8464.023232456999
1515344400,1091.5,1104.9,1080.3,1085.6,9659.59555016,8761.2552604165
1515348000,1086.5,1090.3,1064.1,1080.6,9026.96592637,8992.2045997445
1515351600,1080.6,1092,1080.6,1091.5,2928.27487146,8909.872503237
1515355200,1091.5,1096.9,1089.2,1092.5,4292.90232815,8837.465553497499
1515358800,1092.5,1097,1081.9,1088.7,3995.24115124,8911.319098260501
1515362400,1088.7,1090.5,1079.9,1090.1,6391.08763103,8884.289816882001
1515366000,1090.1,1116,1088.9,1115.8,10635.40207156,8897.292170290502
1515369600,1115.8,1175,1111.7,1174.6,27211.95435151,9590.352374990503
1515373200,1174.6,1182.5,1145.7,1157.1,21000.68421263,9771.407785895502
1515376800,1156.7,1166,1139.4,1162.7,14653.84946382,9730.555239292004
1515380400,1162.5,1197.5,1161.6,1196.6,21299.07682757,10416.490991393004
1515384000,1196.1,1225,1188.8,1224.9,22942.41606031,11283.182651023504
1515387600,1224.9,1225,1173.7,1192.6,27833.00634456,12276.297940711005
1515391200,1192,1223.5,1187.2,1223.5,13883.72203921,12390.970376682504
1515394800,1223,1223.5,1185.5,1189,9856.63527088,12477.397171147506
1515398400,1188.7,1188.8,1144,1150,19043.41853856,13177.112954696504
1515402000,1150,1157,1096.5,1121.2,31127.70281566,14380.337299972502
1515405600,1123,1149.9,1110.2,1139,12305.78740138,14713.467149295004
1515409200,1139,1145,1120.1,1138,10863.86891545,14752.783601398503
1515412800,1138.1,1142,1127.1,1138.9,4498.72805887,14172.515991519005
1515416400,1138.8,1142,1057.7,1074.7,23516.49332668,14865.360880345004
1515420000,1075,1076.1,1015.1,1020.7,32150.9753702,16021.561352536504
1515423600,1019.7,1089,965.18,1060.4,46469.07808462,18198.601513194506
1515427200,1059.9,1105.3,1057.8,1102.6,20870.19577119,19027.466185346504
1515430800,1102.8,1105,1059,1089,9471.71705322,19301.289980445505
1515434400,1089.7,1120,1081.1,1119.7,8798.46704458,19421.658951123005
1515438000,1119.7,1154,1119.5,1148,15644.30521143,19672.10410811651
1515441600,1147.8,1148.8,1106.2,1132,12438.93570236,18933.453175659008
1515445200,1131,1162.1,1126.8,1152.8,8374.76985798,18302.15745792651
1515448800,1152.8,1154.6,1115.8,1122.2,13682.53263604,18253.591616537513
1515452400,1121.4,1135,1094.1,1129,11451.74996801,17761.225273559514
1515456000,1129,1178,1126.8,1176.2,8951.45190224,17061.677065656015
1515459600,1176.2,1178,1145.9,1168,9986.07421265,16169.330459060515
1515463200,1168,1185,1157.3,1182.6,6673.12676302,15808.800695251013
1515466800,1182,1202.7,1181.1,1198.7,11427.68862079,15887.353362746513
1515470400,1198.8,1213.9,1195.3,1205.9,10891.19113693,15479.741992665015
1515474000,1205.9,1220.1,1165.7,1188.5,14177.16902994,14632.215303379015
1515477600,1188.5,1210,1173.4,1197.4,12602.88636444,14647.070251532015
1515481200,1196.8,1215,1194,1210.1,6542.79084465,14431.016347992016
1515484800,1209.9,1250,1208,1232.9,13951.43932314,14903.651911205516
1515488400,1233,1243.1,1213.7,1215.6,9957.50568162,14225.702528952515
1515492000,1217,1222.1,1153.5,1192.4,23269.16360881,13781.611940883016
1515495600,1192.4,1218.1,1185.1,1214,9665.50614544,11941.433343924014
1515499200,1213.9,1215.4,1185.5,1201.2,11235.97661748,11459.722386238514
1515502800,1201.1,1204.2,1119.1,1130.5,26039.13574133,12288.093320644013
1515506400,1129.8,1195.2,1129.6,1192.9,16677.19204334,12682.029570582014
1515510000,1192.9,1207,1179.2,1196,11153.53734149,12457.491177085012
1515513600,1196,1210,1188.4,1207.1,9125.4986087,12291.819322402012
1515517200,1208,1208,1190.1,1200.2,6260.13319561,12186.087489283513
