time,open,high,low,close,Volume,Volume MA
1514764800,19192000,19208000,18870000,19010000,541.82282968,NaN
1514768400,19010000,19134000,18900000,18910000,429.95029368,NaN
1514772000,18940000,19021000,18881000,18913000,382.64716939,NaN
1514775600,18903000,19130000,18900000,19015000,500.93446712,NaN
1514779200,19033000,19150000,18936000,19100000,573.47243167,NaN
1514782800,19100000,19296000,19088000,19130000,708.47941266,NaN
1514786400,19138000,19250000,19021000,19228000,597.66779378,NaN
1514790000,19226000,19260000,19150000,19168000,501.5759756,NaN
1514793600,19160000,19220000,18972000,19005000,505.73431644,NaN
1514797200,19006000,19087000,18970000,19041000,287.95918161,NaN
1514800800,19053000,19101000,18992000,18999000,337.96675218,NaN
1514804400,18998000,19000000,18733000,18818000,779.57005899,NaN
1514808000,18819000,18899000,18782000,18810000,413.82250454,NaN
1514811600,18805000,18899000,18551000,18564000,676.72414758,NaN
1514815200,18592000,18799000,18362000,18700000,903.53392515,NaN
1514818800,18698000,18903000,18601000,18752000,510.30159642,NaN
1514822400,18766000,18766000,18553000,18556000,316.83785033,NaN
1514826000,18558000,18610000,18515000,18554000,150.6252726,NaN
1514829600,18553000,18780000,18510000,18523000,156.59447037,NaN
1514833200,18525000,18689000,18525000,18632000,150.43074653,471.33255981600007
1514836800,18631000,18811000,18631000,18737000,221.05347934,455.294092299
1514840400,18729000,18899000,18711000,18826000,221.96628055,444.8948916425
1514844000,18831000,18884000,18711000,18782000,285.14307272,440.019686809
1514847600,18783000,18844000,18600000,18655000,438.08877837,436.8774023715
1514851200,18657000,19034000,18639000,18944000,643.07303136,440.357432356
1514854800,18944000,19080000,18780000,19023000,737.16803641,441.7918635435
1514858400,19013000,19060000,18850000,18965000,894.70976489,456.6439620990001
1514862000,18965000,18970000,18750000,18861000,737.90899479,468.4606130585
1514865600,18861000,18900000,18570000,18725000,829.20038482,484.63391647749995
1514869200,18720000,18789000,18685000,18750000,878.54024033,514.1629694134999
1514872800,18749000,18810000,18685000,18765000,733.23783529,533.9265235689999
1514876400,18765000,18837000,18741000,18783000,392.63150386,514.5795958124999
1514880000,18793000,18850000,18713000,18745000,380.82151324,512.9295462475
1514883600,18745000,18898000,18744000,18802000,375.43827944,497.8652528404999
1514887200,18802000,18866000,18760000,18838000,563.57476818,480.8672949919999
1514890800,18836000,18838000,18744000,18798000,344.03642835,472.5540365884999
1514894400,18798000,18860000,18713000,18751000,643.51757893,488.8880230184999
1514898000,18764000,18911000,18738000,18898000,587.776609,510.74558983849994
1514901600,18885000,18930000,18752000,18772000,492.83528981,527.5576308104999
1514905200,18773000,18849000,18704000,18814000,484.1225591,544.2422214389999
1514908800,18814000,18949000,18809000,18855000,515.40504298,558.9597996209999
1514912400,18855000,18950000,18845000,18937000,518.35605111,573.779288149
1514916000,18937000,19769000,18882000,19720000,2863.63632281,702.7039506535
1514919600,19710000,20810000,19600000,20100000,3494.78741762,855.538882616
1514923200,20099000,20547000,20063000,20069000,1391.29305555,892.9498838255
1514926800,20069000,20290000,19843000,19989000,863.00362631,899.2416633205
1514930400,19987000,20477000,19987000,20101000,1257.67053299,917.3897017255
1514934000,20116000,20150000,19650000,19838000,1098.97616461,935.4430602165
1514937600,19814000,20173000,19800000,19990000,871.97806162,937.5819440565001
1514941200,20000000,20200000,19955000,20152000,830.95227167,935.2025456235002
1514944800,20152000,20550000,20027000,20486000,1144.87071097,955.7841894075002
1514948400,20485000,20716000,20356000,20403000,1237.96858953,998.0510436910001
1514952000,20422000,20769000,20403000,20609000,1018.49220726,1029.934578392
1514955600,20625000,20701000,20397000,20469000,719.59967518,1047.142648179
1514959200,20474000,20738000,20430000,20726000,989.17662064,1068.4227408020001
1514962800,20726000,20810000,20540000,20660000,765.31077551,1089.48645816
1514966400,20659000,20659000,20530000,20561000,405.66744173,1077.5939512999998
1514970000,20400000,20557000,20380000,20531000,567.62962791,1076.5866022454998
1514973600,20498000,20700000,19801000,19812000,1031.70385673,1103.5300305915
1514977200,19821000,20231000,19811000,20216000,973.81999445,1128.014902359
1514980800,20214000,20300000,19950000,19950000,623.2853959,1133.4089200049998
1514984400,19972000,20180000,19956000,20138000,654.32335686,1140.2072852924998
1514988000,20140000,20187000,19950000,19970000,453.0313582,1019.6770370620001
1514991600,19958000,20174000,19931000,20174000,418.60824076,865.8680782190002
1514995200,20171000,20442000,20157000,20386000,653.89351022,828.9981009525003
1514998800,20387000,20410000,20000000,20005000,400.94965179,805.8954022265004
1515002400,20005000,20100000,19960000,20050000,330.35300859,759.5295260065004
1515006000,20050000,20075000,19931000,19935000,285.12490779,718.8369631655004
1515009600,19955000,20249000,19865000,20249000,412.86802415,695.8814612920004
1515013200,20220000,20383000,20180000,20351000,476.93026465,678.1803609410005
1515016800,20351000,20425000,20200000,20255000,514.88808178,646.6812294815005
1515020400,20235000,20420000,20202000,20416000,671.03600227,618.3346001185006
1515024000,20419000,20530000,20197000,20464000,797.02848682,607.2614140965005
1515027600,20475000,20688000,20359000,20651000,749.9921249,608.7810365825005
1515031200,20643000,20789000,20589000,20590000,532.01550788,585.9229809445005
1515034800,20588000,20588000,20280000,20350000,671.63227287,581.2390558125005
1515038400,20360000,20430000,20180000,20406000,677.06225365,594.8087964085005
1515042000,20419000,20500000,20316000,20431000,581.4105639,595.4978432080005
1515045600,20430000,20499000,20306000,20315000,387.97540447,563.3114205950005
1515049200,20315000,20403000,20180000,20371000,558.06421256,542.5236315005006
1515052800,20371000,20428000,20085000,20110000,741.91410388,548.4550668995006
1515056400,20112000,20112000,19891000,19975000,507.53554811,541.1156764620006
1515060000,19902000,20399000,19901000,20195000,580.52461709,547.4903394065005
1515063600,20190000,20420000,20151000,20418000,647.45309155,558.9325819460005
1515067200,20420000,20470000,20203000,20354000,455.55597335,549.0157051025005
1515070800,20360000,20500000,20208000,20446000,669.89987253,562.4632161395004
1515074400,20470000,20573000,20270000,20373000,723.19439088,582.1052852540005
1515078000,20398000,20420000,20300000,20320000,479.6585929,591.8319695095005
1515081600,20307000,20449000,20242000,20408000,685.78680735,605.4779086695005
1515085200,20408000,20579000,20351000,20576000,398.99307603,601.5810492385004
1515088800,20576000,20800000,20556000,20799000,584.81560647,605.0774254730004
1515092400,20790000,21250000,20647000,20890000,851.14780579,614.0830156490003
1515096000,20954000,21830000,20889000,21045000,1113.89611593,629.9263971045004
1515099600,21123000,21350000,20885000,20929000,549.73804068,619.9136928935004
1515103200,20906000,21068000,20701000,20950000,601.34077297,623.3799561480004
1515106800,20950000,21775000,20800000,21572000,1112.12907807,645.4047964080004
1515110400,21576000,21584000,21046000,21241000,836.46490731,653.3749290910005
1515114000,21241000,21575000,21200000,21412000,706.76230954,659.6425163730004
1515117600,21412000,21732000,21407000,21530000,815.2055122,681.0040217595003
1515121200,21520000,21543000,21303000,21500000,942.55893985,700.2287581240004
1515124800,21500000,21650000,21462000,21578000,590.2764523,692.6468755450003
1515128400,21578000,21700000,21550000,21644000,675.84336949,701.0622666140004
1515132000,21645000,21800000,21500000,21596000,729.43724096,708.5078978075004
1515135600,21593000,21597000,21275000,21520000,464.01206962,699.3358467110004
1515139200,21510000,21729000,21502000,21726000,582.25630917,705.6708635020003
1515142800,21745000,22970000,21740000,22317000,3488.09060541,846.5804001460003
1515146400,22317000,24300000,22244000,23795000,3812.54610166,1001.0479856850003
1515150000,23795000,23927000,22400000,22515000,2736.60698074,1113.8954050770003
1515153600,22514000,22515000,21800000,22200000,1194.2691394,1139.3195216795004
1515157200,22180000,22752000,21800000,22330000,1386.21660609,1188.6806981825002
1515160800,22330000,23038000,22106000,22844000,1452.89147143,1232.0844914305003
1515164400,22844000,22860000,22352000,22749000,902.61104035,1234.6576531585001
1515168000,22749000,24100000,22745000,23899000,2999.45467801,1328.9355812625001
1515171600,23850000,24996000,23750000,24440000,3024.33887408,1452.6656229325001
1515175200,24439000,24888000,24000000,24177000,1384.5638448,1491.826776524
1515178800,24178000,24699000,23524000,24349000,1120.17278498,1492.2289618695
1515182400,24395000,24830000,24049000,24830000,730.44285701,1486.9278593545
1515186000,24830000,25200000,24420000,24433000,1800.17494931,1541.5984913429998
1515189600,24431000,25662000,24078000,25652000,2001.49042582,1600.9127370239999
1515193200,25652000,25988000,24900000,25026000,2431.61632612,1675.3656063374997
1515196800,25028000,25404000,24300000,25350000,2039.61031741,1747.8322995929998
1515200400,25350000,25778000,25012000,25323000,2238.05163686,1825.9427129614996
1515204000,25324000,25500000,24079000,24099000,1803.72872915,1879.657287371
1515207600,24101000,25181000,24079000,24670000,1332.07839593,1923.0606036865
1515211200,24750000,24773000,24211000,24348000,873.84979387,1937.6402779215
1515214800,24358000,24608000,24000000,24451000,1051.8526428,1815.828379791
1515218400,24483000,24483000,24156000,24220000,496.52583945,1650.0273666804999
1515222000,24220000,24399000,23801000,23969000,941.23414911,1560.258725099
1515225600,23978000,24351000,23700000,23835000,809.90509537,1541.0405228975
1515229200,23833000,24075000,23502000,23657000,763.2362877,1509.891506978
1515232800,23654000,24300000,23314000,24126000,1084.92055868,1491.4929613405
1515236400,24127000,24150000,23798000,24079000,543.29428993,1473.5271238195
1515240000,24079000,24154000,23800000,23906000,597.05554516,1353.4071671770002
1515243600,23907000,24100000,23450000,23740000,645.09185551,1234.4448162485
1515247200,23740000,24386000,23598000,24092000,989.75587901,1214.7044179590002
1515250800,24087000,24600000,23784000,24000000,1435.07226347,1230.4493918835
1515254400,23997000,24850000,23825000,24670000,1216.03662371,1254.7290802185003
1515258000,24699000,24853000,24259000,24696000,589.83252021,1194.2119587635002
1515261600,24795000,25270000,24564000,24691000,925.74767747,1140.424821346
1515265200,24699000,24750000,24240000,24387000,368.56309858,1037.272159969
1515268800,24406000,25046000,24371000,24701000,365.77951134,953.5806196655001
1515272400,24701000,24874000,24538000,24869000,295.29573997,856.442824821
1515276000,24874000,25373000,24869000,25008000,774.24761246,804.9687689865001
1515279600,25008000,25149000,24700000,24771000,695.74528442,773.1521134110001
1515283200,24772000,24950000,24371000,24780000,710.21237335,764.9702423850001
1515286800,24781000,24800000,24418000,24531000,455.23919017,735.1395697535
1515290400,24539000,24910000,24382000,24810000,538.24540022,737.225547792
1515294000,24810000,24998000,24739000,24882000,437.69246911,712.048463792
1515297600,24883000,25171000,24820000,24997000,700.3673985,706.5715789485
1515301200,24990000,25103000,24940000,25030000,400.18723968,688.4191265475
1515304800,25003000,25350000,25000000,25063000,599.76318979,664.161258103
1515308400,25063000,25063000,24765000,24978000,442.70455249,659.131771231
1515312000,24990000,25490000,24955000,25256000,599.84215538,659.271101742
1515315600,25259000,25300000,25084000,25268000,327.72000723,643.4025093280001
1515319200,25264000,25450000,25264000,25373000,362.18216221,612.0238234880001
1515322800,25373000,25407000,25125000,25190000,283.73484986,554.4569528075001
1515326400,25204000,25400000,25010000,25271000,465.13834817,516.9120390305001
1515330000,25261000,25300000,24779000,25110000,394.89307619,507.1650668295
1515333600,25021000,25106000,24800000,25043000,275.48510541,474.65193822649996
1515337200,25050000,25095000,24800000,24960000,313.23303889,471.885435242
1515340800,24962000,24996000,24584000,24650000,363.3010778,471.76151356500003
1515344400,24650000,24765000,24270000,24311000,387.54042087,476.37374761
1515348000,24311000,24319000,24258000,24298000,3.62055175,437.8423945745
1515362400,25254000,25300000,25000000,25124000,221.69816026,414.1400383665001
1515366000,25069000,25194000,24723000,24928000,323.59111906,394.8089756520001
1515369600,24874000,25125000,24810000,25073000,422.84044346,393.1890383165001
1515373200,25073000,25100000,24730000,24733000,390.51878018,385.8027073145
1515376800,24730000,24995000,24510000,24880000,389.12145675,383.37415669650005
1515380400,24879000,24887000,24286000,24369000,575.24622789,377.118098166
1515384000,24342000,24439000,24251000,24251000,367.937764,375.505624382
1515387600,24252000,24980000,24168000,24955000,872.34920785,389.13492528499995
1515391200,24955000,24970000,24700000,24910000,358.82107964,384.94075164249995
1515394800,24912000,24940000,24738000,24787000,444.78784888,377.18803631749995
1515398400,24753000,24755000,24180000,24319000,763.42335668,398.97320378999996
1515402000,24319000,24499000,23700000,23700000,862.49237667,423.98871451299993
1515405600,23700000,24098000,23551000,23943000,599.37085892,439.7705149659999
1515409200,23946000,24325000,23943000,24325000,575.04863689,445.2660294019999
1515412800,24325000,24550000,24163000,24387000,494.8272673,450.2627389574999
1515416400,24387000,24441000,23553000,23704000,648.60727018,468.91884719599994
1515420000,23725000,23788000,22888000,22888000,361.22690686,471.31854059449995
1515423600,22888000,23211000,22561000,23140000,270.96184868,466.7015791384999
1515430800,23425000,23501000,23403000,23500000,27.13349182,448.6812326859998
